id_unico	decisao_revisada	confianca	regra	subgrupo_duvida	nucleo_analitico	ano	bases_origem	doi	termos_bloco_a	termos_bloco_b	auditado	titulo	justificativa_reprodutivel
REG_00762	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus	10.1016/j.pmcj.2016.01.003	building operation		nao	Fine-grained appliance usage and energy monitoring through mobile and power-line sensing	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00855	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus	10.1016/j.ijsbe.2016.03.006	facilities maintenance		nao	Impact of indoor environmental quality on occupant well-being and comfort: A review of the literature	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00861	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus	10.1007/978-981-10-0129-1_14	facilities management; operation and maintenance		nao	ICT-Based facilities management tools for buildings	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_00874	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus		operation and maintenance		nao	Augmented reality supported work instructions for onsite facility maintenance	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00887	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus|WoS	10.1016/j.ifacol.2016.11.002	operation and maintenance		nao	Criticality Analysis for optimising OPEX cost lifecycle	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00958	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus		operation and maintenance		nao	Learnings from the equipment lifecycle	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00966	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus		operation and maintenance		nao	Facility integrity: Learnings from the equipment lifecycle	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00967	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus		operation and maintenance		nao	Facility integrity: Learnings from the equipment lifecycle	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00970	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus	10.1016/j.proeng.2016.04.069	maintenance management		nao	Risk-based Maintenance Management of U.S. Public School Facilities	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00987	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus		building operation		nao	Education towards nZEBs in the Czech Republic	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_00998	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus		operation and maintenance		nao	Features of formation and realization of resource saving measures complex aimed to solve social, ecological and economic problems of the russian construction industry	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01019	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1093/ijlct/ctu008	operation and maintenance; retrofit		nao	Existing buildings' operation and maintenance: Renovation project of Chow Yei Ching building at the University of Hong Kong	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01031	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1016/j.egypro.2015.11.281	building operation		nao	Indoor environment and energy consumption optimization using field measurements and building energy simulation.	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01047	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1109/mdm.2015.64	building operation		nao	AARPA: Combining Mobile and Power-Line Sensing for Fine-Grained Appliance Usage and Energy Monitoring	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01065	DESCARTAR	media	D7_INSUFICIENTE	apenas_bloco_a	TRUE	2015	Scopus	10.1108/f-11-2014-0094	building portfolio		nao	Access over ownership – a typology of shared space	Evidência insuficiente no título/termos para reclassificar.
REG_01077	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.3390/s150715988	operation and maintenance		nao	Evolution of RFID applications in construction: A literature review	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01083	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus|WoS	10.1109/secon.2015.7132960	facilities management		nao	Design methodology for identifying optimum photovoltaic system configuration at UNC Charlotte	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01094	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1108/jfm-04-2014-0012	facilities management		nao	Facilities management innovation in public-private collaborations: Danish ESCO projects	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01123	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1109/jsyst.2013.2290339	operation and maintenance		nao	Evaluation of the levelized cost of energy method for analyzing renewable energy systems: A case study of system equivalency crossover points under varying analysis assumptions	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01157	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus		facility management		nao	The concept of facility management in the focus of energy effective houses	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01163	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1201/b17618-91	facilities management		nao	Maintenance and measures adopted to extend useful life of tunnels at Tokyo metro	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01206	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1016/j.proeng.2015.10.023	facilities management		nao	Knowledge Modeling in Construction of Technical Management System for Large Warehousing Facilities	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01219	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus		building maintenance; maintenance management		nao	Building maintenance management in Malaysia: An overview	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_01233	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1061/9780784479285.013	facility management		nao	Snow and Ice Control Environmental Best Management Practices	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01242	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1088/1742-6596/664/3/032032	maintenance management		nao	The evolution of CERN EDMS	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01244	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1016/j.proeng.2015.08.430	facility management		nao	An Alternate Reality Game for Facility Resilience (ARGFR)	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01259	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus		facilities management		nao	Gamification: A novel approach for facilities manager to foster energy-saving behaviour	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01280	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus		operation and maintenance		nao	Using simulation to support management of offshore renewable energy facilities	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01289	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2015	Scopus	10.1115/power201549411	operation and maintenance		nao	Component test facility (comtest) phase 1 engineering for 760C (1400F) advanced ultra- supercritical (A-USC) steam generator development	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01294	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1061/9780784479377.041	building operation		nao	Energy Simulation of a Building Envelope for NetZero Energy Home (NZEH) Design	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01298	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2015	Scopus	10.1061/9780784479377.002	maintenance management		nao	Maintenance Management: A Case Study of the Obstetrics and Gynecology Building in Al-Shifa Hospital in the Gaza Strip	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01349	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.1108/ecam-09-2013-0084	facilities management		nao	An empirical study of the complexity of requirements management in construction projects	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01366	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2014	Scopus	10.3992/1943-4618-9.3.151	building operation; retrofit		nao	Defining and developing an energy retrofitting approach	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01382	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.4028/www.scientific.net/amm.501-504.2676	facility management		nao	Integration of facility management and project management as an effective management tool for development projects	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01390	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.1108/jfm-02-2013-0006	facilities management		nao	Reducing electrical energy consumption through behaviour changes	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01399	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.4028/www.scientific.net/amr.860-863.572	operation and maintenance		nao	Optimal sizing of battery energy storage system in distribution network	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01408	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2014	Scopus	10.1504/ijcnds.2014.057985	building operation		nao	Using existing network infrastructure to estimate building occupancy and control plugged-in devices in user workspaces	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_01420	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.1117/12.2056333	facility management		nao	Operational support and service concepts for observatories	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01430	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus		facility management; facilities management		nao	Well, reservoir and facility management in an Alberta unconventional gas field	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01441	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2014	Scopus	10.2523/iptc-17830-ms	facility management; retrofit		nao	Smart field deployment - Towards the appropriate level of smartness	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01455	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2014	Crossref|Scopus	10.1016/j.proeng.2014.10.562	facility management		nao	Buildings renovation and maintenance in the public sector	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01508	DESCARTAR	alta	D1_NAO_EDIFICACAO	apenas_bloco_a	TRUE	2014	Scopus	10.1115/ipc2014-33129	operation and maintenance		nao	Building a target reliability adaptive to China onshore natural gas pipeline	Uso de building/construção em sentido não predial.
REG_01603	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus	10.1061/9780784413135.121	facilities management; facilities maintenance		nao	A conceptual model for analysing the impact of outsourcing decision on FM service-level performance	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01607	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus	10.1002/9781118771686.ch1	facility management		nao	Facility Management: Changing Global Viewpoints and Maturity	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01631	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus	10.1109/sustech.2013.6617297	building operation		nao	Information and communications technology based solutions in achieving building energy efficiency	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01635	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus	10.1061/9780784412688.066	facilities management		nao	Community-based social marketing: An application to facilities management	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01690	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus	10.1061/(asce)ae.1943-5568.0000111	facility management		nao	Case analysis to identify information links between facility management and healthcare delivery information in a hospital setting	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01705	DESCARTAR	alta	D4_CONSTRUCAO_DESIGN_SEM_OPERACAO	apenas_bloco_a	TRUE	2013	Scopus	10.4028/www.scientific.net/amr.671-674.2476	building maintenance		nao	"Urban design supported by ""green"" streets-urban design for financial technology Island of Beijing ""TBD"""	Tema de projeto/construção/BIM/material sem operação, manutenção, retrofit ou FM.
REG_01706	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus	10.1016/j.enbuild.2012.10.060	building operation		nao	Scenario modelling: A holistic environmental and energy management method for building operation optimisation	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01730	DESCARTAR	alta	D1_NAO_EDIFICACAO	apenas_bloco_a	TRUE	2013	Scopus	10.1093/acprof:oso/9780199760114.003.0001	building operation		nao	Exit Strategies and State Building	Uso de building/construção em sentido não predial.
REG_01731	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus	10.1016/j.autcon.2012.12.014	facility management		nao	An object-oriented model to support healthcare facility information management	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01733	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus	10.4028/www.scientific.net/amr.608-609.835	facilities maintenance		nao	Design on optimization database of radiation protection for nuclear facilities maintenance	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01752	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus		facilities management		nao	A study of cultural center facilities management in Taiwan	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01795	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus		operation and maintenance		nao	Optimization of district cooling plant operation under uncertain construction schedules	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01812	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus		maintenance management		nao	A study on post occupancy evaluation of garden landscape of the residential buildings in Kaohsiung	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_01818	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2013	Scopus		building operation		nao	On commuting related energy consumption and its assessment	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01827	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2013	Scopus	10.1016/j.apenergy.2012.10.001	operation and maintenance		nao	Assessing the state of knowledge of utility-scale wind energy development and operation on non-volant terrestrial and marine wildlife	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_01863	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2012	Scopus		facilities management		nao	Home users as a facility managers how is automation helping?	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01885	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2012	Scopus	10.1109/coase.2012.6386458	building maintenance		nao	Development of a seismic-wind load effect experiment system for built-in guide rail building maintenance robot	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_01888	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2012	Scopus	10.1109/coase.2012.6386401	building maintenance		nao	Proposal of built-in-guide-rail type building façade cleaning robot and its motion planning algorithm	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_01892	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2012	Scopus		operation and maintenance		nao	Kisei nozzle reactor - A novel spray reactor for immiscible liquids	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01913	DESCARTAR	media	D7_INSUFICIENTE	apenas_bloco_a	TRUE	2012	Scopus		building portfolio		nao	The challenge of existing building stocks	Evidência insuficiente no título/termos para reclassificar.
REG_01938	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2012	Scopus	10.1016/j.autcon.2012.04.003	facility management; operation and maintenance		nao	A loosely coupled system integration approach for decision support in facility management and maintenance	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_01943	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2012	Scopus	10.1109/lisat.2012.6223192	building operation		nao	Improving efficiency and reliability of building systems using machine learning and automated online evaluation	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_01967	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2012	Scopus	10.1007/978-1-4471-2467-2_195	building operation		nao	Pipe network optimization for maximal utilization rate of gravity head based on LCA	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_02033	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2012	Scopus	10.3390/su4081711	building operation		nao	Energy costs of energy savings in buildings: A review	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_02088	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2011	Scopus	10.1109/natpc.2011.6136352	building maintenance; building operation		nao	Maintenance factor for precast concrete in IBS: A review	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_02091	RELEVANTE	media	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2011	Scopus	10.1109/natpc.2011.6136372	building maintenance; maintenance management		nao	Examining the maintenance management practices for conservation of heritage buildings in Malaysia	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_02117	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2011	Scopus	10.1109/hpcc.2011.131	facility management		nao	Information lifecycle management in city-wide ubiquitous computing environment	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_02135	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2011	Scopus	10.1109/igcc.2011.6008560	building operation		nao	Measuring building occupancy using existing network infrastructure	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_02159	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2011	Scopus	10.1061/41173(414)474	operation and maintenance		nao	Transient study and design of a deep injection well system	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_02162	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2011	Scopus	10.4028/www.scientific.net/amr.255-260.3893	maintenance management		nao	Developing a framework of economic model for building component lifecycle repair	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_02180	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2011	Scopus	10.1590/s0037-86822011005000042	building maintenance		nao	Behavior of immatures Aedes aegypti in the coast state of são Paulo, Brazil	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
