id_unico,doi,titulo,ano,bases_origem,resumo_presente,classe_pre_triagem,justificativa,sinal_titulo,bloco_a_presente,bloco_b_presente,bloco_c_presente,bloco_d_presente,bloco_tecnologico_presente,bloco_conceitual_presente,termos_bloco_a,termos_bloco_b
REG_00023,10.1063/1.5066879,Critical success factors (CSFs) in implementing sustainable campus operation (SCO) initiatives at Malaysian public universities,2018,Scopus|WoS,sim,relevante,Bloco A (facility management) e Bloco B (sustainab) presentes.,sugere_parcial,sim,sim,nao,sim,nao,sim,facility management,sustainab
REG_00024,10.1145/3276774.3276784,The impact of occupancy resolution on the accuracy of building energy performance simulation,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (building performance) presentes.,sem_sinal,sim,sim,nao,sim,nao,nao,building operation,building performance
REG_00025,10.1080/23750472.2018.1550369,Watching the pennies and the people–how volunteer-led sport facilities have transformed services for local communities,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,sustainab
REG_00026,10.5958/0976-5506.2018.01652.2,"The green and sustainable care facilities of elderly care home: An exploratory study of rumah seri kenangan cheras, selangor",2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,sim,nao,,sustainab; green building; life-cycle
REG_00027,10.1016/j.jclepro.2018.07.249,A validated low carbon office building intervention model based on structural equation modelling,2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; greenhouse gas) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,facilities management,sustainab; greenhouse gas
REG_00028,10.1061/(asce)cp.1943-5487.0000795,Model for Collecting Replacement Cycles of Building Components: Hybrid Approach of Indirect and Direct Estimations,2018,Scopus,sim,relevante,Bloco A (building maintenance) e Bloco B (life cycle; life cycle cost) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,building maintenance,life cycle; life cycle cost
REG_00029,10.1109/mias.2017.2740456,"Ten things you should know about electric motors: Their installation, operation, and maintenance",2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,life-cycle
REG_00030,10.1016/j.jclepro.2018.07.268,Linking greenhouse gas emissions footprint and energy return on investment in electricity generation planning,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,greenhouse gas
REG_00031,10.3390/su10113978,"Prediction of life cycle carbon emissions of sponge city projects: A case study in Shanghai, China",2018,Scopus|WoS,sim,relevante,Bloco A (operation and maintenance) e Bloco B (life cycle; service life; carbon neutral) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,operation and maintenance,life cycle; service life; carbon neutral
REG_00032,10.3390/su10113937,A review of conventional and innovative- sustainable methods for cleaning reflectors in concentrating solar power plants,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00033,10.1108/f-08-2017-0090,Energy disclosure law in New York City: Building energy performance benchmarking progress,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,green building
REG_00034,10.1109/eeeic.2018.8494628,Integration of BIM Solutions and IoT in Smart Houses,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,building operation,sustainab
REG_00035,,The green corner at vaggeryd public library: Beyond providing information about sustainable development for local residents in Sweden,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab; green building) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,building operation,sustainab; green building
REG_00036,10.1080/24705314.2018.1536318,BIM- and IoT-based monitoring framework for building performance management,2018,Scopus,sim,relevante,Bloco A (operation and maintenance) e Bloco B (building performance) presentes.,sugere_parcial,sim,sim,nao,nao,sim,nao,operation and maintenance,building performance
REG_00037,10.1109/percomw.2018.8480226,On Mining IoT Data for Evaluating the Operation of Public Educational Buildings,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,sim,sim,nao,building operation,sustainab
REG_00038,10.1109/icice.2017.8479079,Need analysis of building maintenance: A case study in small-scale residential buildings based on the perceptions of construction industry,2018,Scopus,sim,relevante,Bloco A (building maintenance; maintenance management) e Bloco B (life cycle) presentes.,sugere_parcial,sim,sim,nao,nao,sim,nao,building maintenance; maintenance management,life cycle
REG_00039,10.1111/jiec.12649,Addressing the Life Cycle of Sewers in Contrasting Cities through an Eco-Efficiency Approach,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,sim,nao,nao,nao,operation and maintenance,sustainab; life cycle; life cycle cost
REG_00040,10.1016/j.rser.2018.07.002,Carbon sequestration potential for mitigating the carbon footprint of green stormwater infrastructure,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance,life cycle
REG_00041,10.1016/j.autcon.2018.07.010,Design-for-Safety knowledge library for BIM-integrated safety risk reviews,2018,Scopus,sim,relevante,Bloco A (operation and maintenance) e Bloco B (life cycle) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,operation and maintenance,life cycle
REG_00042,10.1007/s00170-016-8983-8,Cloud-enhanced predictive maintenance,2018,Scopus,sim,irrelevante,Nenhum termo de Bloco A nem Bloco B encontrado em titulo+resumo.,sem_sinal,nao,nao,sim,nao,sim,nao,operation and maintenance; condition-based maintenance,
REG_00043,10.1016/j.ecoleng.2017.07.020,"Eco-engineering strategies for soil restoration and water conservation: Investigating the application of soil improvements in a semi-arid climate in a medical facility case study, Abu Dhabi",2018,Scopus,sim,relevante,Bloco A (building operation; operation and maintenance) e Bloco B (sustainab; greenhouse gas) presentes.,sem_sinal,sim,sim,nao,sim,nao,sim,building operation; operation and maintenance,sustainab; greenhouse gas
REG_00044,10.1016/j.ress.2018.06.021,Recent advances in prognostics and health management for advanced manufacturing paradigms,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,sim,nao,nao,nao,,sustainab
REG_00045,10.1177/0973005218793245,Conditions for Successful Community-based Water Management: Perspectives from Rural Uganda,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00046,10.1039/c8ew00087e,Factors associated with operational sustainability of rural water supplies in Cambodia,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab; sustainable development goal
REG_00047,10.1063/1.5055533,A guideline for strategic capabilities enhancement to support sustainable facility management practices,2018,Scopus,sim,relevante,Bloco A (facility management) e Bloco B (sustainab) presentes.,sugere_relevante,sim,sim,nao,nao,nao,nao,facility management,sustainab
REG_00048,10.1063/1.5055551,Highway traveller information services success (HiTISS): Tools and information needs,2018,Scopus,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,facilities management,sustainab
REG_00049,10.3390/su10103402,A study of the energy efficiency management in Green Standard for Energy and Environmental Design (G-SEED)-certified apartments in South Korea,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,greenhouse gas
REG_00050,10.1051/matecconf/201820401018,Understanding Facilities Management Practices to Improve Building Performance: The opportunity and challenge of the facilities management industry over the world,2018,Scopus,sim,relevante,Bloco A (facilities management; building operation; operation and maintenance) e Bloco B (green building; building performance) presentes.,sugere_relevante,sim,sim,nao,nao,nao,sim,facilities management; building operation; operation and maintenance,green building; building performance
REG_00051,10.1007/978-3-319-93200-2,Sustainable solid waste collection and management,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,sustainab; life cycle; sustainability assessment
REG_00052,10.1088/1757-899x/400/6/062014,Identification of maintenance factors influencing the development of sustainable production processes - A pilot study,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,maintenance management,sustainab
REG_00053,10.1016/j.jclepro.2018.06.017,"Identifying opportunities to improve piped water continuity and water system monitoring in Honduras, Nicaragua, and Panama: Evidence from Bayesian networks and regression analysis",2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,sustainab
REG_00054,10.1051/matecconf/201820302012,Green Procurement in Construction Industry: A Theoretical Perspective of Enablers and Barriers,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab; environmental performance) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,building operation,sustainab; environmental performance
REG_00055,10.1108/bepam-12-2017-0131,Contractual challenges for BIM-based construction projects: a systematic review,2018,Scopus,sim,relevante,Bloco A (facility management) e Bloco B (life cycle) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,facility management,life cycle
REG_00056,10.1109/ram.2018.8463027,"Simulation Software to Assess How, Why, Where and When Components will Fail",2018,Scopus,sim,irrelevante,Nenhum termo de Bloco A nem Bloco B encontrado em titulo+resumo.,sem_sinal,nao,nao,nao,nao,nao,nao,operation and maintenance,
REG_00057,,Development of green building integrated construction process by analysis of overseas building construction project,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,green building
REG_00058,10.1016/j.jobe.2018.06.006,Indicators for quantifying environmental building performance: A systematic literature review,2018,Scopus|WoS,sim,relevante,Bloco A (operation and maintenance) e Bloco B (life cycle; service life; building performance) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,operation and maintenance,life cycle; service life; building performance
REG_00059,10.1177/0958305x18762586,Integrating energy and environmental management systems to enable facilities to qualify for carbon funds,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,life cycle; greenhouse gas
REG_00060,10.2166/hydro.2018.107,Probabilistic green infrastructure cost calculations using a phased life cycle algorithm integrated with uncertainties,2018,Scopus|WoS,sim,complementar,Termo conceitual presente (green infrastructure) -- complementar/conceitual.,sugere_parcial,nao,sim,nao,nao,nao,sim,operation and maintenance,life cycle; life cycle cost
REG_00061,10.1016/j.jobe.2018.04.028,Beyond the third dimension of BIM: A systematic review of literature and assessment of professional views,2018,Scopus|WoS,sim,relevante,Bloco A (facility management) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,facility management,sustainab
REG_00062,10.1016/j.eiar.2018.05.007,"A biophysical approach to the performance diagnosis of human–building energy interaction: Information (bits) modeling, algorithm, and indicators of energy flow complexity",2018,Scopus|WoS,sim,relevante,Bloco A (building operation) e Bloco B (sustainab; net-zero energy) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,building operation,sustainab; net-zero energy
REG_00063,10.1016/j.renene.2017.12.098,The influence of stakeholder groups in operation and maintenance services of offshore wind farms: Lesson from Denmark,2018,Scopus,sim,relevante,Bloco A (operation and maintenance) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00064,10.3390/su10093093,Proposed model of sustainable construction skills for engineers in Chile,2018,Scopus,sim,relevante,Bloco A (facility management) e Bloco B (sustainab) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,facility management,sustainab
REG_00065,10.1051/matecconf/201819506010,"Service life planning for electronics, mechanical and electrical components of a hotel building",2018,Scopus,sim,relevante,Bloco A (building maintenance) e Bloco B (life cycle; life cycle cost; service life) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,building maintenance,life cycle; life cycle cost; service life
REG_00066,10.1108/jfmpc-09-2016-0041,Enablers of relational integrated value networks (RIVANS) for total facilities management (TFM),2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; life-cycle) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,facilities management,sustainab; life-cycle
REG_00067,10.1108/f-05-2017-0054,Emerging financial risks from climate changes on building assets in the UK,2018,Scopus,sim,irrelevante,Nenhum termo de Bloco A nem Bloco B encontrado em titulo+resumo.,sem_sinal,nao,nao,nao,nao,nao,nao,,
REG_00068,10.3390/su10082948,Analytical determination of medical gases consumption and their impact on hospital sustainability,2018,Scopus,sim,relevante,Bloco A (maintenance management) e Bloco B (sustainab) presentes.,sugere_parcial,sim,sim,nao,sim,nao,nao,maintenance management,sustainab
REG_00069,10.3390/su10082890,Green building occupant satisfaction: Evidence from the Australian higher education sector,2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; green building) presentes.,sugere_parcial,sim,sim,nao,sim,nao,nao,facilities management,sustainab; green building
REG_00070,10.1016/j.enbuild.2018.05.024,Modeling and implementing human-based energy retrofits in a green building in desert climate,2018,Scopus,sim,relevante,Bloco A (retrofit) e Bloco B (green building; building performance) presentes.,sugere_relevante,sim,sim,nao,nao,nao,nao,retrofit,green building; building performance
REG_00071,10.1016/j.scitotenv.2018.03.169,Environmental and economic analysis of power generation in a thermophilic biogas plant,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance,life cycle; life cycle cost
REG_00072,10.1088/1755-1315/177/1/012014,Problems and prospects of sustainable low carbon development of transport in Russia,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,sustainab
REG_00073,10.1051/e3sconf/20184802002,The challenges of adopting BIM for setting and infrastructure management of University of Minho,2018,Scopus,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; life cycle) presentes.,sem_sinal,sim,sim,nao,sim,sim,nao,facilities management,sustainab; life cycle
REG_00074,10.1080/09669582.2018.1456541,Financing the sustainable management of Rwanda's protected areas,2018,Scopus,sim,complementar,Termo conceitual presente (ecosystem services) -- complementar/conceitual.,sugere_parcial,nao,sim,nao,nao,nao,sim,,sustainab
REG_00075,,Work order building informatics platform for planning residential building projects and maintenance work,2018,Scopus,sim,relevante,Bloco A (building maintenance; maintenance planning) e Bloco B (sustainab; life cycle) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,building maintenance; maintenance planning,sustainab; life cycle
REG_00076,10.1061/(asce)cf.1943-5509.0001198,Optimized Building Component Assessment Planning Using a Value of Information Model,2018,Scopus|WoS,sim,relevante,Bloco A (facility management; condition assessment) e Bloco B (life-cycle) presentes.,sem_sinal,sim,sim,sim,nao,nao,nao,facility management; condition assessment,life-cycle
REG_00077,10.1177/1748006x18785289,Criticality analysis for preventive maintenance optimization purposes in gas network infrastructures,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco B (sustentabilidade). Requer revisao humana.,sem_sinal,sim,nao,nao,nao,nao,nao,operation and maintenance; maintenance strategy,
REG_00078,10.19650/j.cnki.cjsi.j1803660,Research on the life cycle health monitoring and diagnosis system,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,life cycle
REG_00079,10.1016/j.anucene.2018.04.001,Standardized exchange of plant equipment and materials data based on ISO 15926 methodology in nuclear power plants,2018,Scopus,sim,irrelevante,Nenhum termo de Bloco A nem Bloco B encontrado em titulo+resumo.,sem_sinal,nao,nao,nao,nao,nao,nao,operation and maintenance,
REG_00080,10.3168/jds.2017-12980,A stochastic dynamic model of a dairy farm to evaluate the technical and economic performance under different scenarios,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,sim,nao,nao,nao,,sustainab
REG_00081,10.2166/ws.2017.194,Application of the analytic hierarchy process to sustainability of water supply and sanitation services: The case of Algeria,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00082,10.1088/1742-6596/1060/1/012011,Healthy Building Management System Based on Business Intelligent,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (building performance) presentes.,sem_sinal,sim,sim,sim,nao,sim,nao,building operation,building performance
REG_00083,10.1063/1.5043874,Material life cycle costing of buildings: A case study,2018,Scopus|WoS,sim,relevante,Bloco A (facility management) e Bloco B (life cycle; life cycle cost) presentes.,sugere_parcial,sim,sim,sim,nao,nao,nao,facility management,life cycle; life cycle cost
REG_00084,10.1016/j.jclepro.2017.11.130,A review on contemporary computational programs for Building's life-cycle energy consumption and greenhouse-gas emissions assessment: An empirical study in Australia,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,sustainab; green building; life-cycle
REG_00085,10.3390/app8071086,An automated IoT visualization BIM platform for decision support in facilities management,2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (life cycle) presentes.,sugere_parcial,sim,sim,sim,sim,sim,nao,facilities management,life cycle
REG_00086,10.3390/su10072292,Design of sustainable outsourcing services for facilities management: Critical success factors,2018,Scopus,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab) presentes.,sugere_relevante,sim,sim,nao,nao,nao,nao,facilities management,sustainab
REG_00087,10.1080/17512549.2017.1287127,Improving office building energy-efficiency ratings using a smart-engineering–computer-simulation approach: an Australian case study,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,nao,nao,nao,sim,building operation,sustainab
REG_00088,10.1109/iccecome.2018.8658591,Sustainable Design Parameters in Generation of Facilities Management Conceptual Model,2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; life-cycle) presentes.,sugere_relevante,sim,sim,sim,nao,nao,nao,facilities management,sustainab; life-cycle
REG_00089,10.1109/ieem.2018.8607290,Building Energy Conservation Strategies Evaluation and Simulation,2018,Scopus,sim,relevante,Bloco A (operation and maintenance) e Bloco B (life cycle) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,operation and maintenance,life cycle
REG_00090,10.1109/wsc.2018.8632346,Life-cycle engine fleet simulation for spare part inventory management with advanced condition information,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,maintenance management,life cycle; life-cycle
REG_00091,10.1109/sustech.2018.8671337,Risk Management for Power Purchase Agreements,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance,life cycle; life cycle cost
REG_00092,10.1109/powercon.2018.8602073,Research on Secondary Circuit Identification Technology and Condition-Based Maintenance Mode of Intelligent Substation,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance; maintenance strategy; condition-based maintenance,life cycle
REG_00093,10.1109/ieem.2018.8607535,Environmental Sustainability in Maintenance Management of Public Transport Systems: Literature Review,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,sim,nao,nao,nao,maintenance management; maintenance strategy,sustainab
REG_00094,10.23919/icue-gesd.2018.8635736,"Impacts of Solar PV, Battery Storage and HVAC Set Point Adjustments on Energy Savings and Peak Demand Reduction Potentials in Buildings",2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco B (sustentabilidade). Requer revisao humana.,sem_sinal,sim,nao,nao,nao,nao,nao,building operation,
REG_00095,10.1061/(asce)me.1943-5479.0000610,Taxonomy for BIM and Asset Management Semantic Interoperability,2018,Scopus,sim,relevante,Bloco A (facilities management; operation and maintenance) e Bloco B (life cycle) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,facilities management; operation and maintenance,life cycle
REG_00096,10.1016/j.jclepro.2018.03.315,Product service-systems implementation: A customized framework to enhance sustainability and customer satisfaction,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,sustainab; life cycle; life-cycle; life cycle cost
