"criterio","metodo","n_registros_comuns","ids"
"manutenibilidade","framework",19,"REG_00852;REG_03334;REG_03670;REG_03763;REG_04052;REG_04120;REG_04122;REG_04203;REG_04953;REG_05371;REG_05404;REG_05478;REG_05740;REG_05925;REG_06159;REG_06585;REG_06681;REG_07476;REG_08052"
"desempenho_operacional","optimization",18,"REG_00888;REG_02495;REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04813;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043;REG_07192"
"conforto","framework",15,"REG_01104;REG_02540;REG_03126;REG_03359;REG_03383;REG_04126;REG_04569;REG_05161;REG_05338;REG_05495;REG_05559;REG_06494;REG_06585;REG_07192;REG_07228"
"custo","BIM",15,"REG_01104;REG_03126;REG_04572;REG_04939;REG_04953;REG_05142;REG_05371;REG_05452;REG_05558;REG_05613;REG_05872;REG_06111;REG_06494;REG_06712;REG_07235"
"informacao_dados","decision support",15,"REG_00110;REG_00415;REG_00489;REG_01646;REG_03359;REG_04163;REG_04203;REG_05371;REG_05430;REG_05632;REG_06247;REG_06681;REG_07171;REG_07192;REG_09127"
"seguranca","framework",15,"REG_02635;REG_04120;REG_04122;REG_04225;REG_04552;REG_04572;REG_04575;REG_04939;REG_04953;REG_05142;REG_05449;REG_05816;REG_06111;REG_06494;REG_09113"
"custo","optimization",14,"REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043"
"desempenho_operacional","scoring",14,"REG_00110;REG_00415;REG_04052;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_06255;REG_07061;REG_07225;REG_09169;REG_09503"
"emissoes_carbono","framework",14,"REG_00888;REG_02204;REG_04015;REG_04572;REG_04813;REG_05379;REG_05517;REG_05559;REG_05645;REG_06255;REG_06405;REG_06525;REG_07000;REG_07043"
"informacao_dados","optimization",14,"REG_02495;REG_03126;REG_04163;REG_04552;REG_04813;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07192"
"custo","life-cycle cost",13,"REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015"
"desempenho_operacional","life-cycle cost",13,"REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015"
"energia","optimization",13,"REG_00888;REG_02495;REG_03126;REG_03230;REG_04163;REG_05449;REG_05452;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043;REG_07192"
"informacao_dados","scoring",13,"REG_00110;REG_00415;REG_04052;REG_04953;REG_05161;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_07225;REG_09290"
"residuos","framework",13,"REG_03383;REG_04203;REG_04225;REG_04305;REG_04569;REG_05338;REG_05379;REG_05517;REG_06255;REG_06405;REG_06494;REG_06525;REG_07225"
"vida_util","BIM",13,"REG_00217;REG_01046;REG_02635;REG_03126;REG_03359;REG_04203;REG_04572;REG_04953;REG_05558;REG_05613;REG_06111;REG_06494;REG_07235"
"vida_util","life-cycle cost",13,"REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015"
"custo","decision support",11,"REG_00110;REG_02069;REG_02204;REG_03349;REG_03843;REG_03844;REG_04163;REG_04749;REG_05371;REG_05812;REG_08052"
"custo","scoring",11,"REG_00110;REG_04052;REG_04953;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_07225"
"energia","BIM",11,"REG_01046;REG_03126;REG_03359;REG_04572;REG_04939;REG_05452;REG_05558;REG_05613;REG_06494;REG_06996;REG_07192"
"vida_util","decision support",11,"REG_00110;REG_02069;REG_02204;REG_03349;REG_03359;REG_04163;REG_04203;REG_04749;REG_05812;REG_08052;REG_09127"
"desempenho_operacional","fuzzy",10,"REG_00110;REG_00415;REG_02540;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929;REG_09113;REG_09169"
"desempenho_operacional","ranking",10,"REG_00217;REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169"
"condicao_fisica","decision support",9,"REG_01646;REG_03349;REG_04126;REG_04203;REG_04749;REG_05371;REG_07192;REG_08052;REG_09113"
"desempenho_operacional","machine learning",9,"REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_06929;REG_09169"
"informacao_dados","IoT",9,"REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_06681"
"seguranca","BIM",9,"REG_02635;REG_04572;REG_04939;REG_04953;REG_05142;REG_05816;REG_06111;REG_06494;REG_06712"
"condicao_fisica","BIM",8,"REG_04203;REG_04572;REG_04953;REG_05371;REG_05816;REG_06111;REG_06996;REG_07192"
"desempenho_operacional","IoT",8,"REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05925;REG_06247;REG_06681"
"desempenho_operacional","digital twin",8,"REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192"
"energia","decision support",8,"REG_00489;REG_02204;REG_03359;REG_04126;REG_04163;REG_04749;REG_05430;REG_07192"
"informacao_dados","digital twin",8,"REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192"
"informacao_dados","machine learning",8,"REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_06929"
"risco","decision support",8,"REG_00110;REG_01646;REG_02204;REG_03349;REG_04203;REG_05632;REG_07171;REG_09127"
"satisfacao_usuario","framework",8,"REG_02540;REG_02568;REG_03230;REG_04569;REG_05161;REG_06548;REG_07192;REG_07476"
"vida_util","optimization",8,"REG_00888;REG_03126;REG_03230;REG_04163;REG_04824;REG_05449;REG_05478;REG_05558"
"informacao_dados","life-cycle cost",7,"REG_00110;REG_03126;REG_04163;REG_06159;REG_07225;REG_07235;REG_08015"
"informacao_dados","ranking",7,"REG_00217;REG_04552;REG_04759;REG_04939;REG_06111;REG_06405;REG_08015"
"risco","BIM",7,"REG_02635;REG_04203;REG_04572;REG_05632;REG_05816;REG_05872;REG_06712"
"conforto","BIM",6,"REG_01104;REG_03126;REG_03359;REG_06494;REG_06712;REG_07192"
"conforto","optimization",6,"REG_02495;REG_03126;REG_03383;REG_05495;REG_05559;REG_07192"
"custo","fuzzy",6,"REG_00110;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929"
"custo","machine learning",6,"REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06929"
"energia","digital twin",6,"REG_02495;REG_03359;REG_05430;REG_05449;REG_05559;REG_07192"
"informacao_dados","fuzzy",6,"REG_00110;REG_00415;REG_02540;REG_04052;REG_06111;REG_06929"
"risco","scoring",6,"REG_00110;REG_05872;REG_06712;REG_07061;REG_09169;REG_09290"
"vida_util","scoring",6,"REG_00110;REG_04953;REG_05613;REG_06255;REG_07225;REG_09169"
"agua","framework",5,"REG_04122;REG_04572;REG_06247;REG_06585;REG_07228"
"condicao_fisica","machine learning",5,"REG_04953;REG_05371;REG_05559;REG_06111;REG_09169"
"condicao_fisica","optimization",5,"REG_00888;REG_03383;REG_04824;REG_05559;REG_07192"
"condicao_fisica","ranking",5,"REG_05338;REG_06111;REG_08015;REG_09113;REG_09169"
"condicao_fisica","scoring",5,"REG_04052;REG_04953;REG_05338;REG_05559;REG_09169"
"custo","ranking",5,"REG_04552;REG_04939;REG_05338;REG_06111;REG_08015"
"desempenho_operacional","AHP",5,"REG_00415;REG_04052;REG_04552;REG_05812;REG_09113"
"energia","scoring",5,"REG_05338;REG_05452;REG_05559;REG_05613;REG_06255"
"manutenibilidade","decision support",5,"REG_04203;REG_05371;REG_05740;REG_06681;REG_08052"
"qualidade_servico","framework",5,"REG_00110;REG_04120;REG_05161;REG_07061;REG_07228"
"vida_util","ranking",5,"REG_00217;REG_06111;REG_06405;REG_08015;REG_09169"
"condicao_fisica","fuzzy",4,"REG_04052;REG_06111;REG_09113;REG_09169"
"conforto","digital twin",4,"REG_02495;REG_03359;REG_05559;REG_07192"
"conforto","scoring",4,"REG_05161;REG_05338;REG_05559;REG_06712"
"custo","IoT",4,"REG_05452;REG_05559;REG_05872;REG_05925"
"desempenho_operacional","TOPSIS",4,"REG_03843;REG_03844;REG_04552;REG_04813"
"emissoes_carbono","optimization",4,"REG_00888;REG_04813;REG_05559;REG_07043"
"energia","life-cycle cost",4,"REG_03126;REG_03230;REG_04163;REG_05379"
"qualidade_servico","scoring",4,"REG_00110;REG_05161;REG_07061;REG_09290"
"risco","optimization",4,"REG_00888;REG_03383;REG_04552;REG_05478"
"seguranca","ranking",4,"REG_04552;REG_04939;REG_06111;REG_09113"
"conforto","decision support",3,"REG_03359;REG_04126;REG_07192"
"custo","AHP",3,"REG_04052;REG_04552;REG_05812"
"custo","TOPSIS",3,"REG_03843;REG_03844;REG_04552"
"custo","digital twin",3,"REG_05449;REG_05478;REG_05559"
"desempenho_operacional","ANP",3,"REG_00415;REG_02540;REG_03176"
"desempenho_operacional","Delphi",3,"REG_05558;REG_07061;REG_09113"
"desempenho_operacional","MCDM",3,"REG_03843;REG_03844;REG_09113"
"energia","IoT",3,"REG_03359;REG_05452;REG_05559"
"energia","machine learning",3,"REG_04939;REG_05559;REG_06929"
"energia","ranking",3,"REG_04939;REG_05338;REG_06405"
"informacao_dados","AHP",3,"REG_00415;REG_04052;REG_04552"
"manutenibilidade","BIM",3,"REG_04203;REG_04953;REG_05371"
"residuos","life-cycle cost",3,"REG_05379;REG_05517;REG_07225"
"residuos","scoring",3,"REG_05338;REG_06255;REG_07225"
"risco","life-cycle cost",3,"REG_00110;REG_03349;REG_05517"
"seguranca","machine learning",3,"REG_04939;REG_04953;REG_06111"
"vida_util","digital twin",3,"REG_03359;REG_05449;REG_05478"
"vida_util","fuzzy",3,"REG_00110;REG_06111;REG_09169"
"vida_util","machine learning",3,"REG_04953;REG_06111;REG_09169"
"agua","BIM",2,"REG_04572;REG_06247"
"condicao_fisica","AHP",2,"REG_04052;REG_09113"
"condicao_fisica","digital twin",2,"REG_05559;REG_07192"
"condicao_fisica","life-cycle cost",2,"REG_03349;REG_08015"
"conforto","IoT",2,"REG_03359;REG_05559"
"custo","Delphi",2,"REG_05558;REG_07061"
"custo","MCDM",2,"REG_03843;REG_03844"
"emissoes_carbono","BIM",2,"REG_04572;REG_07000"
"emissoes_carbono","decision support",2,"REG_02204;REG_04749"
"emissoes_carbono","digital twin",2,"REG_04813;REG_05559"
"emissoes_carbono","life-cycle cost",2,"REG_05379;REG_05517"
"emissoes_carbono","machine learning",2,"REG_04813;REG_05559"
"emissoes_carbono","scoring",2,"REG_05559;REG_06255"
"energia","fuzzy",2,"REG_02540;REG_06929"
"informacao_dados","ANP",2,"REG_00415;REG_02540"
"informacao_dados","Delphi",2,"REG_05558;REG_07061"
"informacao_dados","TOPSIS",2,"REG_04552;REG_04813"
"manutenibilidade","IoT",2,"REG_05925;REG_06681"
"manutenibilidade","machine learning",2,"REG_04953;REG_05371"
"manutenibilidade","scoring",2,"REG_04052;REG_04953"
"residuos","BIM",2,"REG_04203;REG_06494"
"residuos","ranking",2,"REG_05338;REG_06405"
"risco","IoT",2,"REG_05872;REG_05925"
"risco","fuzzy",2,"REG_00110;REG_09169"
"risco","ranking",2,"REG_04552;REG_09169"
"satisfacao_usuario","optimization",2,"REG_03230;REG_07192"
"satisfacao_usuario","scoring",2,"REG_05161;REG_09290"
"seguranca","AHP",2,"REG_04552;REG_09113"
"seguranca","decision support",2,"REG_09113;REG_09127"
"seguranca","fuzzy",2,"REG_06111;REG_09113"
"seguranca","optimization",2,"REG_04552;REG_05449"
"seguranca","scoring",2,"REG_04953;REG_06712"
"agua","IoT",1,"REG_06247"
"agua","decision support",1,"REG_06247"
"condicao_fisica","Bayesian Best Worst Method",1,"REG_05338"
"condicao_fisica","Delphi",1,"REG_09113"
"condicao_fisica","IoT",1,"REG_05559"
"condicao_fisica","MCDM",1,"REG_09113"
"condicao_fisica","case-based reasoning",1,"REG_04052"
"conforto","ANP",1,"REG_02540"
"conforto","Bayesian Best Worst Method",1,"REG_05338"
"conforto","fuzzy",1,"REG_02540"
"conforto","life-cycle cost",1,"REG_03126"
"conforto","machine learning",1,"REG_05559"
"conforto","ranking",1,"REG_05338"
"custo","ANP",1,"REG_03176"
"custo","Bayesian Best Worst Method",1,"REG_05338"
"custo","balanced scorecard",1,"REG_00110"
"custo","case-based reasoning",1,"REG_04052"
"desempenho_operacional","Bayesian Best Worst Method",1,"REG_05338"
"desempenho_operacional","balanced scorecard",1,"REG_00110"
"desempenho_operacional","case-based reasoning",1,"REG_04052"
"emissoes_carbono","IoT",1,"REG_05559"
"emissoes_carbono","TOPSIS",1,"REG_04813"
"emissoes_carbono","ranking",1,"REG_06405"
"energia","ANP",1,"REG_02540"
"energia","Bayesian Best Worst Method",1,"REG_05338"
"energia","Delphi",1,"REG_05558"
"informacao_dados","balanced scorecard",1,"REG_00110"
"informacao_dados","case-based reasoning",1,"REG_04052"
"manutenibilidade","AHP",1,"REG_04052"
"manutenibilidade","case-based reasoning",1,"REG_04052"
"manutenibilidade","digital twin",1,"REG_05478"
"manutenibilidade","fuzzy",1,"REG_04052"
"manutenibilidade","life-cycle cost",1,"REG_06159"
"manutenibilidade","optimization",1,"REG_05478"
"qualidade_servico","Delphi",1,"REG_07061"
"qualidade_servico","balanced scorecard",1,"REG_00110"
"qualidade_servico","decision support",1,"REG_00110"
"qualidade_servico","fuzzy",1,"REG_00110"
"qualidade_servico","life-cycle cost",1,"REG_00110"
"residuos","Bayesian Best Worst Method",1,"REG_05338"
"residuos","decision support",1,"REG_04203"
"residuos","optimization",1,"REG_03383"
"risco","AHP",1,"REG_04552"
"risco","Delphi",1,"REG_07061"
"risco","TOPSIS",1,"REG_04552"
"risco","balanced scorecard",1,"REG_00110"
"risco","digital twin",1,"REG_05478"
"risco","machine learning",1,"REG_09169"
"satisfacao_usuario","ANP",1,"REG_02540"
"satisfacao_usuario","BIM",1,"REG_07192"
"satisfacao_usuario","decision support",1,"REG_07192"
"satisfacao_usuario","digital twin",1,"REG_07192"
"satisfacao_usuario","fuzzy",1,"REG_02540"
"satisfacao_usuario","life-cycle cost",1,"REG_03230"
"satisfacao_usuario","machine learning",1,"REG_06548"
"seguranca","Delphi",1,"REG_09113"
"seguranca","MCDM",1,"REG_09113"
"seguranca","TOPSIS",1,"REG_04552"
"seguranca","digital twin",1,"REG_05449"
"vida_util","AHP",1,"REG_05812"
"vida_util","Delphi",1,"REG_05558"
"vida_util","IoT",1,"REG_03359"
"vida_util","balanced scorecard",1,"REG_00110"
