dimensao_roteiro,metodo,n_registros_comuns,ids
institucional,decision support,22,REG_00110;REG_00489;REG_02069;REG_03349;REG_03359;REG_04126;REG_04163;REG_04203;REG_04749;REG_05371;REG_05430;REG_05632;REG_05740;REG_05812;REG_06247;REG_06681;REG_07171;REG_07192;REG_09113;REG_09127;REG_11003;REG_12451
ambiental,optimization,19,REG_00888;REG_02495;REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04813;REG_04824;REG_05418;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043;REG_07192
tecnica_operacional,optimization,19,REG_00888;REG_02495;REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04813;REG_04824;REG_05418;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043;REG_07192
ambiental,decision support,18,REG_00415;REG_00489;REG_03349;REG_03359;REG_03843;REG_03844;REG_04126;REG_04163;REG_04749;REG_05371;REG_05430;REG_05632;REG_05740;REG_05812;REG_06247;REG_07171;REG_07192;REG_12351
ambiental,machine learning,17,REG_04813;REG_04939;REG_04953;REG_05371;REG_05418;REG_05559;REG_06111;REG_06548;REG_06840;REG_06929;REG_09169;REG_10348;REG_10391;REG_11158;REG_11346;REG_12351;REG_12511
economica,life-cycle cost,16,REG_00110;REG_01239;REG_02069;REG_02383;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_07814;REG_07815;REG_08015
tecnica_operacional,scoring,16,REG_00110;REG_00415;REG_04052;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06255;REG_06712;REG_07061;REG_07225;REG_09169;REG_09503
institucional,optimization,15,REG_02495;REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04813;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_07192
institucional,scoring,15,REG_00110;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06255;REG_06712;REG_07061;REG_07225;REG_09169;REG_09290;REG_09503
ambiental,scoring,14,REG_00415;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06255;REG_06712;REG_07225;REG_09169;REG_09290;REG_09503
economica,BIM,14,REG_03126;REG_04572;REG_04939;REG_04953;REG_05142;REG_05371;REG_05452;REG_05558;REG_05613;REG_05872;REG_06111;REG_06494;REG_06712;REG_07235
economica,optimization,14,REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043
tecnica_operacional,life-cycle cost,14,REG_00110;REG_01239;REG_02069;REG_02383;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015
institucional,life-cycle cost,13,REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015
institucional,machine learning,13,REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_09169;REG_10348;REG_10391;REG_11003;REG_11158;REG_12451
social,BIM,13,REG_00217;REG_01046;REG_04572;REG_04953;REG_05371;REG_05452;REG_05558;REG_05613;REG_05872;REG_06111;REG_06712;REG_07000;REG_07192
social,decision support,13,REG_00415;REG_01646;REG_03843;REG_03844;REG_04126;REG_04163;REG_05371;REG_05740;REG_05812;REG_07171;REG_07192;REG_08052;REG_09113
social,scoring,13,REG_00415;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_09169;REG_09290;REG_09503
tecnica_operacional,IoT,13,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_06681;REG_10391;REG_11158;REG_11346;REG_12511
ambiental,IoT,12,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_10391;REG_11158;REG_11346;REG_12511
economica,decision support,12,REG_00110;REG_00415;REG_02069;REG_03349;REG_03843;REG_03844;REG_04163;REG_04749;REG_05371;REG_05812;REG_08052;REG_12351
economica,scoring,12,REG_00110;REG_00415;REG_04052;REG_04953;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_07225
institucional,IoT,11,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_06681;REG_10391;REG_11158
tecnica_operacional,digital twin,11,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_06840;REG_07192;REG_10348;REG_12451
tecnica_operacional,fuzzy,11,REG_00110;REG_00415;REG_02540;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929;REG_09113;REG_09169;REG_11003
ambiental,digital twin,10,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_06840;REG_07192;REG_10348
economica,machine learning,10,REG_02383;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06929;REG_07814;REG_07815;REG_12351
institucional,digital twin,10,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192;REG_10348;REG_12451
social,optimization,10,REG_02495;REG_03383;REG_04163;REG_04824;REG_05449;REG_05452;REG_05495;REG_05558;REG_05559;REG_07192
institucional,ranking,9,REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
tecnica_operacional,ranking,9,REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
ambiental,fuzzy,7,REG_00415;REG_02540;REG_03843;REG_03844;REG_06111;REG_06929;REG_09169
ambiental,life-cycle cost,7,REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_07225
ambiental,ranking,7,REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_09169
economica,fuzzy,7,REG_00110;REG_00415;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929
social,fuzzy,7,REG_00415;REG_02540;REG_03843;REG_03844;REG_06111;REG_09113;REG_09169
social,machine learning,7,REG_04953;REG_05371;REG_05559;REG_06111;REG_06840;REG_09169;REG_12511
social,ranking,7,REG_04759;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
institucional,fuzzy,6,REG_00110;REG_02540;REG_06111;REG_09113;REG_09169;REG_11003
social,IoT,6,REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_12511
economica,ranking,5,REG_04552;REG_04939;REG_05338;REG_06111;REG_08015
social,digital twin,5,REG_02495;REG_05449;REG_05559;REG_06840;REG_07192
tecnica_operacional,AHP,5,REG_00415;REG_04052;REG_04552;REG_05812;REG_09113
ambiental,TOPSIS,4,REG_03843;REG_03844;REG_04552;REG_04813
economica,AHP,4,REG_00415;REG_04052;REG_04552;REG_05812
economica,IoT,4,REG_05452;REG_05559;REG_05872;REG_05925
tecnica_operacional,TOPSIS,4,REG_03843;REG_03844;REG_04552;REG_04813
ambiental,AHP,3,REG_00415;REG_04552;REG_05812
economica,TOPSIS,3,REG_03843;REG_03844;REG_04552
economica,digital twin,3,REG_05449;REG_05478;REG_05559
institucional,AHP,3,REG_04552;REG_05812;REG_09113
institucional,Delphi,3,REG_05558;REG_07061;REG_09113
social,AHP,3,REG_00415;REG_05812;REG_09113
social,Delphi,3,REG_05558;REG_07061;REG_09113
social,MCDM,3,REG_03843;REG_03844;REG_09113
tecnica_operacional,Delphi,3,REG_05558;REG_07061;REG_09113
tecnica_operacional,MCDM,3,REG_03843;REG_03844;REG_09113
ambiental,ANP,2,REG_00415;REG_02540
ambiental,MCDM,2,REG_03843;REG_03844
economica,Delphi,2,REG_05558;REG_07061
economica,MCDM,2,REG_03843;REG_03844
institucional,TOPSIS,2,REG_04552;REG_04813
social,ANP,2,REG_00415;REG_02540
social,TOPSIS,2,REG_03843;REG_03844
social,life-cycle cost,2,REG_04163;REG_08015
tecnica_operacional,ANP,2,REG_00415;REG_02540
ambiental,Bayesian Best Worst Method,1,REG_05338
ambiental,Delphi,1,REG_05558
economica,ANP,1,REG_00415
economica,Bayesian Best Worst Method,1,REG_05338
economica,balanced scorecard,1,REG_00110
economica,case-based reasoning,1,REG_04052
institucional,ANP,1,REG_02540
institucional,Bayesian Best Worst Method,1,REG_05338
institucional,MCDM,1,REG_09113
institucional,balanced scorecard,1,REG_00110
social,Bayesian Best Worst Method,1,REG_05338
tecnica_operacional,Bayesian Best Worst Method,1,REG_05338
tecnica_operacional,balanced scorecard,1,REG_00110
tecnica_operacional,case-based reasoning,1,REG_04052
