id_unico|subgrupo_duvida|nucleo_analitico|ano|bases_origem|doi|termos_bloco_a|termos_bloco_b|auditado|titulo
REG_01206|apenas_bloco_a|TRUE|2015|Scopus|10.1016/j.proeng.2015.10.023|facilities management||nao|Knowledge Modeling in Construction of Technical Management System for Large Warehousing Facilities
REG_01219|apenas_bloco_a|TRUE|2015|Scopus||building maintenance; maintenance management||nao|Building maintenance management in Malaysia: An overview
REG_01233|apenas_bloco_a|TRUE|2015|Scopus|10.1061/9780784479285.013|facility management||nao|Snow and Ice Control Environmental Best Management Practices
REG_01242|apenas_bloco_a|TRUE|2015|Scopus|10.1088/1742-6596/664/3/032032|maintenance management||nao|The evolution of CERN EDMS
REG_01244|apenas_bloco_a|TRUE|2015|Scopus|10.1016/j.proeng.2015.08.430|facility management||nao|An Alternate Reality Game for Facility Resilience (ARGFR)
REG_01259|apenas_bloco_a|TRUE|2015|Scopus||facilities management||nao|Gamification: A novel approach for facilities manager to foster energy-saving behaviour
REG_01280|apenas_bloco_a|TRUE|2015|Scopus||operation and maintenance||nao|Using simulation to support management of offshore renewable energy facilities
REG_01289|apenas_bloco_a|TRUE|2015|Scopus|10.1115/power201549411|operation and maintenance||nao|Component test facility (comtest) phase 1 engineering for 760C (1400F) advanced ultra- supercritical (A-USC) steam generator development
REG_01294|apenas_bloco_a|TRUE|2015|Scopus|10.1061/9780784479377.041|building operation||nao|Energy Simulation of a Building Envelope for NetZero Energy Home (NZEH) Design
REG_01298|apenas_bloco_a|TRUE|2015|Scopus|10.1061/9780784479377.002|maintenance management||nao|Maintenance Management: A Case Study of the Obstetrics and Gynecology Building in Al-Shifa Hospital in the Gaza Strip
REG_01349|apenas_bloco_a|TRUE|2014|Scopus|10.1108/ecam-09-2013-0084|facilities management||nao|An empirical study of the complexity of requirements management in construction projects
REG_01366|apenas_bloco_a|TRUE|2014|Scopus|10.3992/1943-4618-9.3.151|building operation; retrofit||nao|Defining and developing an energy retrofitting approach
REG_01382|apenas_bloco_a|TRUE|2014|Scopus|10.4028/www.scientific.net/amm.501-504.2676|facility management||nao|Integration of facility management and project management as an effective management tool for development projects
REG_01390|apenas_bloco_a|TRUE|2014|Scopus|10.1108/jfm-02-2013-0006|facilities management||nao|Reducing electrical energy consumption through behaviour changes
REG_01399|apenas_bloco_a|TRUE|2014|Scopus|10.4028/www.scientific.net/amr.860-863.572|operation and maintenance||nao|Optimal sizing of battery energy storage system in distribution network
REG_01408|apenas_bloco_a|TRUE|2014|Scopus|10.1504/ijcnds.2014.057985|building operation||nao|Using existing network infrastructure to estimate building occupancy and control plugged-in devices in user workspaces
REG_01420|apenas_bloco_a|TRUE|2014|Scopus|10.1117/12.2056333|facility management||nao|Operational support and service concepts for observatories
REG_01430|apenas_bloco_a|TRUE|2014|Scopus||facility management; facilities management||nao|Well, reservoir and facility management in an Alberta unconventional gas field
REG_01441|apenas_bloco_a|TRUE|2014|Scopus|10.2523/iptc-17830-ms|facility management; retrofit||nao|Smart field deployment - Towards the appropriate level of smartness
REG_01455|apenas_bloco_a|TRUE|2014|"Crossref|Scopus"|10.1016/j.proeng.2014.10.562|facility management||nao|Buildings renovation and maintenance in the public sector
REG_01508|apenas_bloco_a|TRUE|2014|Scopus|10.1115/ipc2014-33129|operation and maintenance||nao|Building a target reliability adaptive to China onshore natural gas pipeline
REG_01603|apenas_bloco_a|TRUE|2013|Scopus|10.1061/9780784413135.121|facilities management; facilities maintenance||nao|A conceptual model for analysing the impact of outsourcing decision on FM service-level performance
REG_01607|apenas_bloco_a|TRUE|2013|Scopus|10.1002/9781118771686.ch1|facility management||nao|Facility Management: Changing Global Viewpoints and Maturity
REG_01631|apenas_bloco_a|TRUE|2013|Scopus|10.1109/sustech.2013.6617297|building operation||nao|Information and communications technology based solutions in achieving building energy efficiency
REG_01635|apenas_bloco_a|TRUE|2013|Scopus|10.1061/9780784412688.066|facilities management||nao|Community-based social marketing: An application to facilities management
REG_01690|apenas_bloco_a|TRUE|2013|Scopus|10.1061/(asce)ae.1943-5568.0000111|facility management||nao|Case analysis to identify information links between facility management and healthcare delivery information in a hospital setting
REG_01705|apenas_bloco_a|TRUE|2013|Scopus|10.4028/www.scientific.net/amr.671-674.2476|building maintenance||nao|"Urban design supported by ""green"" streets-urban design for financial technology Island of Beijing ""TBD"""
REG_01706|apenas_bloco_a|TRUE|2013|Scopus|10.1016/j.enbuild.2012.10.060|building operation||nao|Scenario modelling: A holistic environmental and energy management method for building operation optimisation
REG_01730|apenas_bloco_a|TRUE|2013|Scopus|10.1093/acprof:oso/9780199760114.003.0001|building operation||nao|Exit Strategies and State Building
REG_01731|apenas_bloco_a|TRUE|2013|Scopus|10.1016/j.autcon.2012.12.014|facility management||nao|An object-oriented model to support healthcare facility information management
REG_01733|apenas_bloco_a|TRUE|2013|Scopus|10.4028/www.scientific.net/amr.608-609.835|facilities maintenance||nao|Design on optimization database of radiation protection for nuclear facilities maintenance
REG_01752|apenas_bloco_a|TRUE|2013|Scopus||facilities management||nao|A study of cultural center facilities management in Taiwan
REG_01795|apenas_bloco_a|TRUE|2013|Scopus||operation and maintenance||nao|Optimization of district cooling plant operation under uncertain construction schedules
REG_01812|apenas_bloco_a|TRUE|2013|Scopus||maintenance management||nao|A study on post occupancy evaluation of garden landscape of the residential buildings in Kaohsiung
REG_01818|apenas_bloco_a|TRUE|2013|Scopus||building operation||nao|On commuting related energy consumption and its assessment
REG_01827|apenas_bloco_a|TRUE|2013|Scopus|10.1016/j.apenergy.2012.10.001|operation and maintenance||nao|Assessing the state of knowledge of utility-scale wind energy development and operation on non-volant terrestrial and marine wildlife
REG_01863|apenas_bloco_a|TRUE|2012|Scopus||facilities management||nao|Home users as a facility managers how is automation helping?
REG_01885|apenas_bloco_a|TRUE|2012|Scopus|10.1109/coase.2012.6386458|building maintenance||nao|Development of a seismic-wind load effect experiment system for built-in guide rail building maintenance robot
REG_01888|apenas_bloco_a|TRUE|2012|Scopus|10.1109/coase.2012.6386401|building maintenance||nao|Proposal of built-in-guide-rail type building façade cleaning robot and its motion planning algorithm
REG_01892|apenas_bloco_a|TRUE|2012|Scopus||operation and maintenance||nao|Kisei nozzle reactor - A novel spray reactor for immiscible liquids
REG_01913|apenas_bloco_a|TRUE|2012|Scopus||building portfolio||nao|The challenge of existing building stocks
REG_01938|apenas_bloco_a|TRUE|2012|Scopus|10.1016/j.autcon.2012.04.003|facility management; operation and maintenance||nao|A loosely coupled system integration approach for decision support in facility management and maintenance
REG_01943|apenas_bloco_a|TRUE|2012|Scopus|10.1109/lisat.2012.6223192|building operation||nao|Improving efficiency and reliability of building systems using machine learning and automated online evaluation
REG_01967|apenas_bloco_a|TRUE|2012|Scopus|10.1007/978-1-4471-2467-2_195|building operation||nao|Pipe network optimization for maximal utilization rate of gravity head based on LCA
REG_02033|apenas_bloco_a|TRUE|2012|Scopus|10.3390/su4081711|building operation||nao|Energy costs of energy savings in buildings: A review
REG_02088|apenas_bloco_a|TRUE|2011|Scopus|10.1109/natpc.2011.6136352|building maintenance; building operation||nao|Maintenance factor for precast concrete in IBS: A review
REG_02091|apenas_bloco_a|TRUE|2011|Scopus|10.1109/natpc.2011.6136372|building maintenance; maintenance management||nao|Examining the maintenance management practices for conservation of heritage buildings in Malaysia
REG_02117|apenas_bloco_a|TRUE|2011|Scopus|10.1109/hpcc.2011.131|facility management||nao|Information lifecycle management in city-wide ubiquitous computing environment
REG_02135|apenas_bloco_a|TRUE|2011|Scopus|10.1109/igcc.2011.6008560|building operation||nao|Measuring building occupancy using existing network infrastructure
REG_02159|apenas_bloco_a|TRUE|2011|Scopus|10.1061/41173(414)474|operation and maintenance||nao|Transient study and design of a deep injection well system
REG_02162|apenas_bloco_a|TRUE|2011|Scopus|10.4028/www.scientific.net/amr.255-260.3893|maintenance management||nao|Developing a framework of economic model for building component lifecycle repair
REG_02180|apenas_bloco_a|TRUE|2011|Scopus|10.1590/s0037-86822011005000042|building maintenance||nao|Behavior of immatures Aedes aegypti in the coast state of são Paulo, Brazil
REG_02229|apenas_bloco_a|TRUE|2011|Scopus|10.2118/145983-ms|maintenance management; maintenance planning||nao|Optimizing asset lifecycle maintenance using a streamlined RCM method
REG_02230|apenas_bloco_a|TRUE|2011|Scopus|10.1016/j.tourman.2010.05.014|facility management||nao|How can tourism use land more efficiently? A model-based approach to land-use efficiency for tourist destinations
REG_02249|apenas_bloco_a|TRUE|2011|Scopus|10.1007/978-90-481-9367-7_3|operation and maintenance||nao|Water Services in South Africa 1994–2009
REG_02256|apenas_bloco_a|TRUE|2010|Scopus|10.1109/icsmc.2010.5642262|facility management||nao|An agent-based service-oriented approach for facility lifecycle information integration and decision supports
REG_02258|apenas_bloco_a|TRUE|2010|Scopus||facilities management||nao|Is facilities management fundamental to the conservation of heritage buildings and their contents?
REG_02288|apenas_bloco_a|TRUE|2010|Scopus||building maintenance||nao|The development of a Condition Survey Protocol (CSP) 1 Matrix for visual building inspection
REG_02323|apenas_bloco_a|TRUE|2010|Scopus|10.1061/41099(367)32|operation and maintenance||nao|A non-dimensional modeling approach for evaluation of low impact development from water quality to flood control
REG_02324|apenas_bloco_a|TRUE|2010|Scopus|10.1061/41099(367)63|operation and maintenance||nao|Development and application of modular LID site planning tool
REG_02358|apenas_bloco_a|TRUE|2010|Scopus|10.1177/1420326x09358029|facility management; building operation||nao|Developing a building energy management framework based on ubiquitous sensor networks
REG_02377|apenas_bloco_a|TRUE|2010|Scopus||building operation||nao|The improvement of supervision of operation used methods for residential buildings
REG_02460|apenas_bloco_a|TRUE|2022|"Scopus|WoS"|10.3390/en15218097|operation and maintenance||nao|Ensuring the Safety of Buildings by Reducing the Noise Impact through the Use of Green Wall Systems
REG_02561|apenas_bloco_a|TRUE|2022|Scopus|10.1016/j.ssci.2022.105745|facility management; facilities management||nao|The impact of climate change on workplace safety and health hazard in facilities management: An in-depth review
REG_02571|apenas_bloco_a|TRUE|2022|Scopus|10.1016/j.jobe.2022.104277|building operation; retrofit||nao|Component-level re-commissioning of a newly retrofitted Danish healthcare building
REG_02655|apenas_bloco_a|TRUE|2022|Scopus|10.1051/e3sconf/202234305001|operation and maintenance||nao|Human behaviours: New paradigms of energy efficiency. Communication tools to deliver a technical message to non-experts
REG_02665|apenas_bloco_a|TRUE|2022|Scopus|10.1016/j.est.2021.103615|operation and maintenance||nao|Simulated performance of a solar-assisted heat pump system including a phase-change storage tank for residential heating applications: A case study in Madrid, Spain
REG_02684|apenas_bloco_a|TRUE|2022|Scopus|10.1061/(asce)cf.1943-5509.0001698|facility management; maintenance planning||nao|Postoccupancy Evaluation for Student Housing with a Focus on Maintenance Planning, Design Process, and Client Requirement
REG_02713|apenas_bloco_a|TRUE|2022|Scopus|10.1002/2475-8876.12255|building operation||nao|Operation strategy for engineered natural ventilation using machine learning under sparse data conditions
REG_02726|apenas_bloco_a|TRUE|2022|Scopus|10.1061/9780784483978.044|building operation; operation and maintenance||nao|Building Optimization Model for Minimizing Operation and Maintenance Costs
REG_02733|apenas_bloco_a|TRUE|2022|Scopus|10.1016/j.jobe.2021.103428|facilities management||nao|Importance of hospital facilities management performance indicators: Building practitioners’ perspectives
REG_02771|apenas_bloco_a|TRUE|2022|Scopus||facilities management||nao|A Review of Facilities Management Guidelines for the Living Environment of the Elderly
REG_02804|apenas_bloco_a|TRUE|2022|Scopus|10.24425/ace.2022.140171|building maintenance; maintenance strategy||nao|Models for estimating costs of public buildings maintaining - Review and assessment
REG_02830|apenas_bloco_a|TRUE|2022|Scopus|10.1109/icsp56322.2022.9965311|operation and maintenance||nao|Feature cross fusion - Attention mechanism for intelligent semantic segmentation of surface features around railway
REG_02873|apenas_bloco_a|TRUE|2022|Scopus|10.30880/ijie.2022.14.09.015|building maintenance; maintenance management; deferred maintenance||nao|Deferred Maintenance of Public University Buildings in Malaysia: A Preliminary Study
REG_02970|apenas_bloco_a|TRUE|2022|Scopus|10.1088/1755-1315/1026/1/012026|building operation; retrofit||nao|Retrofitting Old Silk Factory in Valmadrera, Italy with Insulated Envelope Solutions.
REG_02993|apenas_bloco_a|TRUE|2021|"Crossref|Scopus"|10.1016/j.jobe.2021.102510|facility management; operation and maintenance||nao|Facility management information taxonomy framework for queries in healthcare buildings
REG_03015|apenas_bloco_a|TRUE|2021|Scopus|10.1016/j.adapen.2021.100068|building operation||nao|Sensor impacts on building and HVAC controls: A critical review for building energy performance
REG_03062|apenas_bloco_a|TRUE|2021|Scopus|10.3390/en14196015|operation and maintenance||nao|The contribution of building-integrated photovoltaics (Bipv) to the concept of nearly zero-energy cities in europe: Potential and challenges ahead
REG_03076|apenas_bloco_a|TRUE|2021|Scopus|10.1016/j.jobe.2021.102618|building operation||nao|Non-intrusive measurement of building cooling load components via morphological components analysis
REG_03154|apenas_bloco_a|TRUE|2021|Scopus|10.3969/j.issn.1671-7104.2021.03.017|operation and maintenance; maintenance management||nao|Thoughts on Construction of Information System of Medical Device Variety Archives
REG_03155|apenas_bloco_a|TRUE|2021|Scopus|10.1016/j.jhazmat.2021.125040|operation and maintenance||nao|Evaluation of the eco-efficiency of waste treatment facilities in Korea
REG_03164|apenas_bloco_a|TRUE|2021|"Crossref|Scopus"|10.3390/su13116200|building maintenance||nao|Value-based building maintenance practices for public hospitals in malaysia
REG_03263|apenas_bloco_a|TRUE|2021|Scopus|10.1088/1755-1315/655/1/012002|facility management||nao|FACTORS AFFECTING the EFFECTIVENESS of MAINTENANCE in POSTGRADUATE HOSTELS in HIGHLY RANKED NIGERIAN UNIVERSITIES
REG_03283|apenas_bloco_a|TRUE|2021|Scopus|10.3390/buildings11020075|facilities management; operation and maintenance||nao|Design for maintainability of basements and wet areas
REG_03337|apenas_bloco_a|TRUE|2021|Scopus|10.24928/2021/0182|facility management||nao|THE LIFECYCLE VALUE OF FACILITY MANAGEMENT PROFESSIONALS
REG_03393|apenas_bloco_a|TRUE|2021|Scopus|10.1007/978-981-15-8131-1_29|facility management||nao|An empirical study of visual comfort in office buildings
REG_03443|apenas_bloco_a|TRUE|2021|Scopus|10.1049/icp.2022.0463|operation and maintenance||nao|STUDY OF HIERARCHICAL SUPPORT TECHNIQUE FOR MANAGING ASSETS - development of support program for substation equipment -
REG_03499|apenas_bloco_a|TRUE|2021|Scopus|10.1007/978-3-030-65687-4_3|building maintenance||nao|Exploring the Financial Strategies of Private Museums: The Case of the Opera di Santa Maria del Fiore in Florence
REG_03570|apenas_bloco_a|TRUE|2020|Scopus|10.1109/ieeeconf51154.2020.9319987|maintenance management||nao|Protection of Buildings with Historic, Architectural Cultural Values: The Case of Royal Museum of Seri Menanti
REG_03601|apenas_bloco_a|TRUE|2020|Scopus|10.1016/j.apenergy.2020.115413|building operation||nao|EnergyStar++: Towards more accurate and explanatory building energy benchmarking
REG_03652|apenas_bloco_a|TRUE|2020|"Scopus|WoS"|10.1016/j.foar.2020.02.003|operation and maintenance||nao|Design, construction, and thermal performance evaluation of an innovative bio-based ventilated façade
REG_03674|apenas_bloco_a|TRUE|2020|Scopus|10.1080/17512549.2018.1545143|building operation||nao|Case study results: fault detection in air-handling units in buildings
REG_03700|apenas_bloco_a|TRUE|2020|Scopus|10.1088/1742-6596/1516/1/012014|building maintenance||nao|Landscape and housekeeping government building preventive maintenance guidebook based on work breakdown structure
REG_03746|apenas_bloco_a|TRUE|2020|Scopus|10.1109/ecbios50299.2020.9203716|operation and maintenance||nao|Utilizing UAV for 3D Map for Urban Land Use in Tainan City, Taiwan
REG_03753|apenas_bloco_a|TRUE|2020|Scopus|10.1051/e3sconf/202016704004|facility management||nao|Indoor environmental quality evaluation in a hot and arid climate: A case study of a higher education office building
REG_03755|apenas_bloco_a|TRUE|2020|"Scopus|WoS"|10.1108/f-03-2019-0040|facilities management; condition assessment||nao|Integrated methodology for industrial facilities management and design based on FCA and lean manufacturing principles
REG_03764|apenas_bloco_a|TRUE|2020|Scopus|10.1007/s11831-019-09320-4|facilities management||nao|Computational Methods of Acquisition and Processing of 3D Point Cloud Data for Construction Applications
REG_03779|apenas_bloco_a|TRUE|2020|Scopus|10.1016/j.enbuild.2020.109810|retrofit||nao|Building-level and stock-level in contrast: A literature review of the energy performance of buildings during the operational stage
REG_03828|apenas_bloco_a|TRUE|2020|Scopus|10.1108/jfm-06-2019-0024|facilities management; operation and maintenance||nao|A facilities manager’s typology of performance gaps in new buildings
REG_03842|apenas_bloco_a|TRUE|2020|Scopus|10.1016/j.scs.2019.101831|operation and maintenance||nao|Development of a framework for indoor air quality assessments in energy conservation districts
REG_03868|apenas_bloco_a|TRUE|2020|Scopus||facility management||nao|Incentivizing high-quality data sets in construction using blockchain: A feasibility study in the swiss industry
REG_03956|apenas_bloco_a|TRUE|2020|Scopus||operation and maintenance||nao|An artificial intelligence technology for predictive operation and maintenance of crude oil gathering systems
REG_03976|apenas_bloco_a|TRUE|2020|Scopus||building operation||nao|Leveraging Automotive Industry Strategies to Define a New Paradigm for Construction-to-Operation Information Handover
REG_04036|apenas_bloco_a|TRUE|2019|Scopus|10.1088/1755-1315/361/1/012012|building maintenance; building operation||nao|The aspect role of building maintenance on architectural design works (case study: A College Building in West Jakarta)
REG_04099|apenas_bloco_a|TRUE|2019|Scopus|10.1088/1742-6596/1299/1/012015|maintenance management||nao|Assessment of the effectiveness of maintenance management systems in delivering quality maintenance services in higher institutions
REG_04118|apenas_bloco_a|TRUE|2019|Scopus|10.1108/jfm-11-2018-0067|facilities management||nao|Energy efficiency practices in facilities management in Johannesburg
REG_04124|apenas_bloco_a|TRUE|2019|"Scopus|WoS"|10.1108/f-04-2018-0055|building maintenance; maintenance management||nao|The consideration of building maintenance at design stage in public buildings: The current scenario in Malaysia
REG_04126|apenas_bloco_a|TRUE|2019|"Scopus|WoS"|10.1108/f-10-2017-0102|building renovation||nao|Early decision-making for school building renovation
REG_04152|apenas_bloco_a|TRUE|2019|Scopus|10.1016/j.enbuild.2019.05.042|building operation||nao|Exploring the impact of office building users' modeling approaches on energy use across Canadian climates
REG_04160|apenas_bloco_a|TRUE|2019|Scopus|10.1088/1755-1315/294/1/012054|operation and maintenance||nao|Fault evaluation process in HVAC system for decision making of how to respond to system faults
REG_04176|apenas_bloco_a|TRUE|2019|Scopus|10.1088/1755-1315/296/1/012030|maintenance management||nao|Plant maintenance in hospitals facilities
REG_04186|apenas_bloco_a|TRUE|2019|Scopus|10.1080/09613218.2018.1459004|building maintenance; maintenance management||nao|Text-mining building maintenance work orders for component fault frequency
REG_04272|apenas_bloco_a|TRUE|2019|Scopus|10.3390/su11082352|building operation||nao|Right-sizing cities for maximum power: Urban form parameters for New York City and the Greater Philadelphia Region
REG_04322|apenas_bloco_a|TRUE|2019|Scopus|10.4028/www.scientific.net/msf.946.839|facilities management||nao|Management of rolls handling facilities of long products shop
REG_04332|apenas_bloco_a|TRUE|2019|Scopus||facilities management||nao|Using semantic technologies to improve FM asset information management processes
REG_04361|apenas_bloco_a|TRUE|2019|Scopus|10.1201/9780429001055-51|facilities management||nao|From FM to building
REG_04436|apenas_bloco_a|TRUE|2019|Scopus|10.1680/icsic.64669.091|operation and maintenance; maintenance strategy||nao|A model for lifecycle cost calculation based on asset health index
REG_04446|apenas_bloco_a|TRUE|2019|Scopus|10.18799/24131830/2019/2/120|maintenance planning||nao|Approach to automated formation time norms for maintenance of control and testing instrumentation, APCs and communication equipment of oil and gas enterprises
REG_04457|apenas_bloco_a|TRUE|2019|Scopus|10.3390/su11092616|building operation||nao|Comparison of health and well-being aspects in building certification schemes
REG_04484|apenas_bloco_a|TRUE|2019|Scopus|10.1007/978-3-030-01929-7_14|operation and maintenance||nao|Solutions of Recovery in Slopes and Access to the Transmission Line in 500 KV in the Section Located in the Municipalities of Colinas do Sul and Niquelândia, State of Goiás, Brazil
REG_04502|apenas_bloco_a|TRUE|2019|Scopus|10.1088/1755-1315/352/1/012063|operation and maintenance||nao|Design and build with straw, earth and reeds for a minus carbon and plus energy building practice
REG_04517|apenas_bloco_a|TRUE|2026|"Scopus|WoS"|10.1186/s12982-026-02148-x|operation and maintenance||nao|Stakeholder priorities for sustaining operations and maintenance of school sanitation facilities in Kampala City, Uganda
REG_04549|apenas_bloco_a|TRUE|2026|Scopus|10.1016/j.energy.2026.141151|building operation||nao|An adaptive grey-box model for nearly zero energy building operations in challenging climate
REG_04605|apenas_bloco_a|TRUE|2026|Scopus|10.1016/j.applthermaleng.2026.130973|building operation||nao|Performance simulation and analysis study of solar driven desiccant wheel air conditioning systems for low latitude islands
REG_04652|apenas_bloco_a|TRUE|2026|Scopus|10.3390/buildings16101893|building operation||nao|Time-Based Energy Conservation Measures in an Academic Building
