dimensao_roteiro,metodo,n_registros_comuns,ids
institucional,optimization,15,REG_02495;REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04813;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_07192
ambiental,scoring,14,REG_00415;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06255;REG_06712;REG_07225;REG_09169;REG_09290;REG_09503
economica,optimization,14,REG_03126;REG_03230;REG_03383;REG_04163;REG_04552;REG_04824;REG_05449;REG_05452;REG_05478;REG_05495;REG_05558;REG_05559;REG_06929;REG_07043
tecnica_operacional,life-cycle cost,13,REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015
economica,life-cycle cost,13,REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015
institucional,life-cycle cost,13,REG_00110;REG_01239;REG_02069;REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_06159;REG_07225;REG_07235;REG_08015
social,BIM,13,REG_00217;REG_01046;REG_04572;REG_04953;REG_05371;REG_05452;REG_05558;REG_05613;REG_05872;REG_06111;REG_06712;REG_07000;REG_07192
social,decision support,13,REG_00415;REG_01646;REG_03843;REG_03844;REG_04126;REG_04163;REG_05371;REG_05740;REG_05812;REG_07171;REG_07192;REG_08052;REG_09113
social,scoring,13,REG_00415;REG_04953;REG_05161;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_09169;REG_09290;REG_09503
economica,decision support,11,REG_00110;REG_02069;REG_02204;REG_03349;REG_03843;REG_03844;REG_04163;REG_04749;REG_05371;REG_05812;REG_08052
economica,scoring,11,REG_00110;REG_04052;REG_04953;REG_05338;REG_05452;REG_05559;REG_05613;REG_05872;REG_06712;REG_07061;REG_07225
tecnica_operacional,fuzzy,10,REG_00110;REG_00415;REG_02540;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929;REG_09113;REG_09169
tecnica_operacional,ranking,10,REG_00217;REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
institucional,ranking,10,REG_00217;REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
social,optimization,10,REG_02495;REG_03383;REG_04163;REG_04824;REG_05449;REG_05452;REG_05495;REG_05558;REG_05559;REG_07192
tecnica_operacional,IoT,9,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_06681
institucional,IoT,9,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247;REG_06681
tecnica_operacional,machine learning,9,REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_06929;REG_09169
ambiental,machine learning,9,REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_06929;REG_09169
social,ranking,8,REG_00217;REG_04759;REG_05338;REG_06111;REG_06405;REG_08015;REG_09113;REG_09169
tecnica_operacional,digital twin,8,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192
ambiental,digital twin,8,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192
institucional,digital twin,8,REG_02495;REG_03359;REG_04813;REG_05430;REG_05449;REG_05478;REG_05559;REG_07192
ambiental,IoT,8,REG_03359;REG_04758;REG_04759;REG_05452;REG_05559;REG_05872;REG_05925;REG_06247
institucional,machine learning,8,REG_04813;REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06548;REG_09169
social,fuzzy,7,REG_00415;REG_02540;REG_03843;REG_03844;REG_06111;REG_09113;REG_09169
ambiental,fuzzy,7,REG_00415;REG_02540;REG_03843;REG_03844;REG_06111;REG_06929;REG_09169
ambiental,life-cycle cost,7,REG_03126;REG_03230;REG_03349;REG_04163;REG_05379;REG_05517;REG_07225
ambiental,ranking,7,REG_04552;REG_04759;REG_04939;REG_05338;REG_06111;REG_06405;REG_09169
economica,fuzzy,6,REG_00110;REG_03843;REG_03844;REG_04052;REG_06111;REG_06929
economica,machine learning,6,REG_04939;REG_04953;REG_05371;REG_05559;REG_06111;REG_06929
institucional,fuzzy,5,REG_00110;REG_02540;REG_06111;REG_09113;REG_09169
tecnica_operacional,AHP,5,REG_00415;REG_04052;REG_04552;REG_05812;REG_09113
economica,ranking,5,REG_04552;REG_04939;REG_05338;REG_06111;REG_08015
social,IoT,5,REG_04759;REG_05452;REG_05559;REG_05872;REG_05925
social,machine learning,5,REG_04953;REG_05371;REG_05559;REG_06111;REG_09169
social,digital twin,4,REG_02495;REG_05449;REG_05559;REG_07192
tecnica_operacional,TOPSIS,4,REG_03843;REG_03844;REG_04552;REG_04813
ambiental,TOPSIS,4,REG_03843;REG_03844;REG_04552;REG_04813
economica,IoT,4,REG_05452;REG_05559;REG_05872;REG_05925
social,AHP,3,REG_00415;REG_05812;REG_09113
tecnica_operacional,ANP,3,REG_00415;REG_02540;REG_03176
ambiental,ANP,3,REG_00415;REG_02540;REG_03176
ambiental,AHP,3,REG_00415;REG_04552;REG_05812
social,MCDM,3,REG_03843;REG_03844;REG_09113
tecnica_operacional,MCDM,3,REG_03843;REG_03844;REG_09113
economica,TOPSIS,3,REG_03843;REG_03844;REG_04552
economica,AHP,3,REG_04052;REG_04552;REG_05812
institucional,AHP,3,REG_04552;REG_05812;REG_09113
economica,digital twin,3,REG_05449;REG_05478;REG_05559
social,Delphi,3,REG_05558;REG_07061;REG_09113
tecnica_operacional,Delphi,3,REG_05558;REG_07061;REG_09113
institucional,Delphi,3,REG_05558;REG_07061;REG_09113
social,ANP,2,REG_00415;REG_02540
social,TOPSIS,2,REG_03843;REG_03844
ambiental,MCDM,2,REG_03843;REG_03844
economica,MCDM,2,REG_03843;REG_03844
social,life-cycle cost,2,REG_04163;REG_08015
institucional,TOPSIS,2,REG_04552;REG_04813
economica,Delphi,2,REG_05558;REG_07061
tecnica_operacional,balanced scorecard,1,REG_00110
economica,balanced scorecard,1,REG_00110
institucional,balanced scorecard,1,REG_00110
institucional,ANP,1,REG_02540
economica,ANP,1,REG_03176
tecnica_operacional,case-based reasoning,1,REG_04052
economica,case-based reasoning,1,REG_04052
social,Bayesian Best Worst Method,1,REG_05338
tecnica_operacional,Bayesian Best Worst Method,1,REG_05338
institucional,Bayesian Best Worst Method,1,REG_05338
ambiental,Bayesian Best Worst Method,1,REG_05338
economica,Bayesian Best Worst Method,1,REG_05338
ambiental,Delphi,1,REG_05558
institucional,MCDM,1,REG_09113
