ordem_prioridade,lote_leitura,id_unico,doi,titulo,ano,eixo_tematico_preliminar,metodo_mcdm_especifico,tecnologia_especifica,necessita_leitura_completa
22,1,REG_04549,10.1016/j.energy.2026.141151,An adaptive grey-box model for nearly zero energy building operations in challenging climate,2026,gestao_predial_sustentabilidade_geral,,,sim
23,1,REG_04960,10.1109/access.2026.3663548,A Review of IoT Network Infrastructure in Building Environment Transition From Environment-Centric to Occupant-Centric,2026,gestao_predial_com_tecnologia_aplicada,,IoT; outra tecnologia: smart building,sim
24,1,REG_04664,10.1088/2053-1591/ae45fa,An experimental investigation on longevity and mechanical characteristics of high-performance concrete incorporating copper slag as replacement of fine aggregate,2026,gestao_predial_sustentabilidade_geral,,,sim
25,1,REG_05045,10.2118/230996-ms,A Purpose-Built Maintenance Facility and Protocols for Fracturing Operations Sustainability,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),outra tecnologia: predictive maintenance,sim
26,1,REG_04811,10.1007/s43995-026-00290-w,Achieving environmental sustainability in existing university buildings through an effective retrofitting and rating system,2026,gestao_predial_contexto_publico_universitario,,,sim
27,1,REG_04932,10.14589/ido.26.2.8,Analysis of Managerial Strategy of Boxing Clubs in Central Java: Mixed Method Exploratory Study,2026,gestao_predial_sustentabilidade_geral,,,sim
28,1,REG_04550,10.1016/j.enbuild.2026.117530,A cross-building few-shot energy load forecasting framework via transferable temporal learning and residual correction,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven; outra tecnologia: intelligent building,sim
29,1,REG_07578,10.7782/jksr.2026.29.6.568,Autoencoder Model Design Method for Operational Anomaly Detection in Escalators; [에스컬레이터 동작 이상 탐지를 위한 오토인코더 모델 설계 방법],2026,gestao_predial_sustentabilidade_geral,,,sim
30,1,REG_04872,10.1108/jfm-07-2025-0103,A digital twin implementation strategy for predictive maintenance in facility management,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Digital Twin; Data-driven; outra tecnologia: predictive maintenance,sim
31,1,REG_04982,10.1007/978-3-032-10649-0_54,Automated UAV-Based Crack Detection and Measurement Using CNN and High-Resolution Image Processing,2026,gestao_predial_sustentabilidade_geral,,,sim
32,1,REG_04531,10.1016/j.enbuild.2026.117763,A data-driven iterative digital twin framework for dynamic building energy performance: Integrating virtual sensing and anomaly diagnosis,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin; IoT; Data-driven; outra tecnologia: predictive maintenance,sim
33,1,REG_05017,10.63044/w26jia171,Automating Complex Building Energy Modeling from Natural Language: Real-World Cases Using EPlus-LLM,2026,gestao_predial_sustentabilidade_geral,,,sim
34,1,REG_04882,10.1201/9781042006175-9,Case Study 9 Building Management Systems,2026,gestao_predial_sustentabilidade_geral,,,sim
35,1,REG_04699,10.16791/j.cnki.sjg.2026.04.037,AI for empowering the construction and development of university laboratories in the new era,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin,sim
36,1,REG_04751,10.1016/j.jobe.2026.115416,A data-driven predictive maintenance framework for smart buildings: Integrating digital twin and machine learning in HVAC systems,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin; Data-driven; outra tecnologia: intelligent building; outra tecnologia: smart building; outra tecnologia: predictive maintenance,sim
37,1,REG_04859,10.1002/2475-8876.70096,Challenges and Facility Management of Aging Condominiums by Incorporated Condominium Associations in the Kinki Region (Part 2): Management Methods for Well-Maintained Aging Condominiums,2026,gestao_predial_sustentabilidade_geral,,,sim
38,1,REG_04787,10.1016/j.energy.2025.139890,Analysis and prediction of carbon emissions from public building operation based on stacking ensemble strategy: the case of Xi 'an,2026,gestao_predial_contexto_publico_universitario,,,sim
39,1,REG_04611,10.1108/jfm-04-2025-0046,Classification of building defects using ensemble machine learning models: a case study,2026,gestao_predial_sustentabilidade_geral,,,sim
40,1,REG_04708,10.1108/ecam-02-2024-0239,A systematic taxonomic review of the application of BIM and digital twins technologies in the construction industry,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin,sim
41,1,REG_09123,10.1108/jcre-03-2026-0013,Advancing social sustainability through workplace experience management: an AHP-based decision framework for university campus real estate,2026,gestao_predial_com_decisao_multicriterio,AHP,,sim
42,1,REG_04977,10.1007/978-981-96-9540-9_4,Comparative Insights into Fuzzy Logic and Rule-Based Control for Prosumer Building Operation,2026,gestao_predial_sustentabilidade_geral,,,sim
43,1,REG_04569,10.1108/jfm-11-2025-0191,Analysis of sustainable facility management performance in university campuses based on user satisfaction indicators: the case of Ankara University Besevler Campus,2026,gestao_predial_biossistemica_conceitual,,,sim
44,1,REG_04814,10.1007/978-981-95-2348-1_39,Construction of Adaptive Environmental Control System for Green Buildings Based on Reinforcement Learning Algorithm,2026,gestao_predial_sustentabilidade_geral,,,sim
45,1,REG_05032,10.1016/j.seta.2025.104804,"AI technologies towards achieving net-zero energy building: Potential framework, implementation factors, challenges and future directions",2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin; Data-driven; outra tecnologia: smart building,sim
46,1,REG_07839,10.3390/app16073555,Continuous-Time Markov Chain Modelling for Service Life Prediction of Building Elements,2026,gestao_predial_sustentabilidade_geral,,,sim
47,1,REG_09141,10.1108/f-10-2025-0203,An ISM-MICMAC approach to critical success factors for sustainable retrofitting of public buildings in the UAE,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Data-driven,sim
48,1,REG_04919,10.3389/fmicb.2026.1809727,"Correction: Transcriptome analysis of Pseudomonas syringae pv. tomato DAPP-PG 215 in response to silver nanoparticles exposure (Frontiers in Microbiology, (2026), 16, (1714857), 10.3389/fmicb.2025.1714857)",2026,gestao_predial_sustentabilidade_geral,,,sim
49,1,REG_04514,10.4108/airo.9975,AI-Driven Predictive Maintenance in Infrastructure and Facilities Management,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven; outra tecnologia: predictive maintenance,sim
50,1,REG_04637,10.3390/admsci16050224,Customer Satisfaction Level of Users of the Different Areas and Services of a Private Mid-Cost Fitness Center in Zaragoza,2026,gestao_predial_sustentabilidade_geral,,,sim
51,1,REG_04775,10.3390/app16031288,An Improved Geospatial Object Detection Framework for Complex Urban and Environmental Remote Sensing Scenes,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
52,1,REG_04543,10.1007/s40866-026-00345-w,Decentralized Scheduling of Building Thermal Demand for Renewable Communities,2026,gestao_predial_sustentabilidade_geral,,,sim
53,1,REG_07598,10.1007/978-3-032-13293-2_4,Basler and Hofmann: Managing Decarbonization in Real Estate Portfolios with Stratus—The Pragmatic Path to Net Zero,2026,gestao_predial_contexto_publico_universitario,,,sim
54,1,REG_04826,10.1109/icetsis68266.2026.11549378,AI-Integrated Digital Twin Framework for Quality and Performance Management in Sustainable Buildings,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT,sim
55,1,REG_04998,10.1007/978-3-031-96157-1_19,Design of a Strategy for the Technological Management of Wind Farms in Cuban Electric Corporation,2026,gestao_predial_sustentabilidade_geral,,,sim
56,1,REG_04625,10.1108/jcre-03-2025-0016,Developing sustainable outsourcing strategies for facilities management: a study of educational facilities in Hong Kong,2026,gestao_predial_sustentabilidade_geral,,,sim
57,1,REG_04770,10.3992/jgb.21.1.93,APPLICATIONS OF DIGITAL TWIN (DT) FOR ENERGY SAVING AND CARBON REDUCTION OVER BUILDING LIFE CYCLE: A REVIEW,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
58,1,REG_09137,10.1108/sasbe-12-2025-0848,An enabling framework towards digital twins implementation model for sustainable smart facility management,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin,sim
59,1,REG_04798,10.1016/j.enbuild.2025.116656,Dynamic modeling of building energy consumption using quantile-based feature selection and varying-coefficient models,2026,gestao_predial_sustentabilidade_geral,,,sim
60,1,REG_04692,10.31893/multiscience.2026215,"Educational management strategies of Danqing dance school in Pingdingshan, China",2026,gestao_predial_sustentabilidade_geral,,,sim
61,1,REG_09519,NA,APPLICATIONS OF DIGITAL TWIN (DT) FOR ENERGY SAVING AND CARBON REDUCTION OVER BUILDING LIFE CYCLE: A REVIEW,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
62,1,REG_07830,10.1016/j.enbuild.2026.117478,An integrated framework for preventive maintenance planning of residential building cladding using degradation prediction and multi-objective optimization,2026,gestao_predial_com_decisao_multicriterio,BWM,,sim
63,1,REG_04832,10.1016/j.procir.2026.05.125,Embedding Life Cycle Thinking in a National Research Facility: Environmental Sustainability Analysis of Electron Paramagnetic Resonance Infrastructure,2026,gestao_predial_sustentabilidade_geral,,,sim
64,1,REG_04645,10.3390/su18094494,Assessing the Interplay of Personal and Behavioral Factors on Indoor Thermal Comfort in North Texas,2026,gestao_predial_biossistemica_conceitual,,,sim
65,1,REG_09520,NA,APPLICATIONS OF DIGITAL TWIN (DT) FOR ENERGY SAVING AND CARBON REDUCTION OVER BUILDING LIFE CYCLE: A REVIEW,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
66,1,REG_05037,10.1007/978-3-032-14019-7_28,Employing Energy Flexibility: Insights from a Case Study Energy Flexible Building Cluster in Poland,2026,gestao_predial_sustentabilidade_geral,,,sim
67,1,REG_04929,10.3389/fpubh.2026.1816383,"Breaking the ""idling dilemma"" of donated medical equipment: a TDABC-based analysis of health policy failure and a pathway to reform",2026,gestao_predial_contexto_publico_universitario,,,sim
68,1,REG_05021,10.63044/w26xia148,Energy-Saving Potential of Sustainable Energy Building Upgrades at Safety Rest Areas in Minnesota,2026,gestao_predial_sustentabilidade_geral,,,sim
69,1,REG_04816,NA,Application of Modelling and Simulation Techniques for Predicting Energy Efficiency of High-Rise Residential Apartments,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
70,1,REG_04843,10.1002/isd2.70054,"Adoption of Smart Facilities Management in Ghana: Barriers, Opportunities, and the Shift From Traditional Practices",2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
71,1,REG_04624,10.3390/su18094330,Environmental and Microbiological Performance of a CAM-Compliant Green Cleaning Protocol: An Integrated Life Cycle and Surface Contamination Assessment in a Civil Facility,2026,gestao_predial_sustentabilidade_geral,,,sim
72,1,REG_09162,10.1108/f-07-2025-0116,Exploring service innovation strategies for tenant satisfaction in rental office buildings,2026,gestao_predial_sustentabilidade_geral,,,sim
73,1,REG_04560,10.58845/jstt.utt.2026.en.6.2.56-74,Assessing the Determinants of Maintenance Effectiveness in Aged Buildings Using Structural Equation Modeling: An Empirical Study in Vietnam,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Data-driven,sim
74,1,REG_04753,10.1016/j.buildenv.2025.114113,Advancing energy predictive models in smart and sustainable buildings through the age of exploration-inspired optimization of machine and deep learning,2026,gestao_predial_com_tecnologia_aplicada,,outra tecnologia: smart building,sim
75,1,REG_04610,10.1063/5.0328627,Facilities Management Challenges for Residential Buildings in Malaysia: A Review,2026,gestao_predial_sustentabilidade_geral,,,sim
76,1,REG_04824,10.1007/978-3-032-06810-1_102,Framework for Environmental Life Cycle Assessment of Operation Strategies for Existing Building Envelopes,2026,gestao_predial_sustentabilidade_geral,,,sim
77,1,REG_04842,10.1007/978-3-032-08992-2_112,Ambient Intelligent Environments in Facility Management: A Perspective for Emerging Economies,2026,gestao_predial_com_tecnologia_aplicada,,IoT,sim
78,1,REG_09500,10.1007/978-3-032-06810-1-102,Framework for Environmental Life Cycle Assessment of Operation Strategies for Existing Building Envelopes,2026,gestao_predial_sustentabilidade_geral,,,sim
79,1,REG_04888,10.1007/978-3-032-05592-7_9,BIM-Powered Asset Management Solutions—Digitalizing Building Maintenance,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM,sim
80,1,REG_04819,10.17683/ijomam/issue24.25,ENERGY-SAVING RECONSTRUCTION SCHEME OF BUILDINGS BASED ON ENERGY CONSUMPTION DATA,2026,gestao_predial_contexto_publico_universitario,,,sim
81,1,REG_04783,10.1016/j.enbuild.2025.116802,Human-centric buildings for a changing climate: Introducing a new International Energy Agency research network,2026,gestao_predial_sustentabilidade_geral,,,sim
82,1,REG_04608,10.1108/sasbe-08-2025-0502,"An integrative framework for BIM, digital twin and generative AI convergence in construction: a multi-dimensional analysis of synergies and enabling factors",2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin,sim
83,1,REG_04760,10.1108/sasbe-08-2023-0218,"Insight into facilities management market in the UAE: trends, drivers,  and threats",2026,gestao_predial_sustentabilidade_geral,,,sim
84,1,REG_07852,10.1016/j.buildenv.2025.113890,BIM-based framework for estimating service life duration of wood construction elements under environmental exposure,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Data-driven,sim
85,1,REG_04717,10.1016/j.esr.2026.102109,Intelligent optimisation for sustainable development of onshore wind farm battery energy storage systems: A systematic review,2026,gestao_predial_sustentabilidade_geral,,,sim
86,1,REG_04563,10.1108/f-07-2025-0128,Biophilic architecture and workplace attachment: a mediated moderation model of employee emotions and green satisfaction,2026,gestao_predial_biossistemica_conceitual,,,sim
87,1,REG_04532,10.1016/j.enbuild.2026.117719,An open-set air conditioning fault diagnosis model based on transformer combined with multiple classifiers,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
88,1,REG_04623,10.3390/su18094250,Life Cycle and Hygienic Evaluation of Green vs. Traditional Cleaning Protocols in Civil Buildings,2026,gestao_predial_sustentabilidade_geral,,,sim
89,1,REG_04727,10.1016/j.rineng.2026.109219,Life carbon assessment of embodied and operational carbon with view assessment across facade systems in Japanese climate zones,2026,gestao_predial_sustentabilidade_geral,,,sim
90,1,REG_07860,10.1080/17452007.2026.2613775,Beyond preservation: A PAT framework for sustainable heritage management in historic cities,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM,sim
91,1,REG_04579,10.3969/j.issn.0258-2724.20260011,Application of Green and Low-Carbon Technologies in Bridge Engineering: A Review,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT; outra tecnologia: predictive maintenance,sim
92,1,REG_04662,10.1016/j.enbuild.2026.117085,Life cycle assessment and environmental impact of novel cross-laminated timber composite façade applied in renovation of aged reinforced concrete residential building in subtropical area,2026,gestao_predial_sustentabilidade_geral,,,sim
93,1,REG_04513,10.1108/ecam-12-2024-1646,Evaluating energy performance of educational buildings: a case study in Australia,2026,gestao_predial_contexto_publico_universitario,,,sim
94,1,REG_04869,10.58491/2735-4202.3372,Life-cycle-oriented Selection Framework for Solar Shading Devices in Hot—arid Building Façades: From Traditional Precedents to PV-integrated Systems,2026,gestao_predial_sustentabilidade_geral,,,sim
95,1,REG_04721,10.1016/j.jii.2025.101040,Automating appliance verification in facilities management using a denoised Voltage-Current feature extraction and classification pipeline,2026,gestao_predial_com_tecnologia_aplicada,,outra tecnologia: predictive maintenance,sim
96,1,REG_04825,10.1007/978-3-032-14011-1_79,Building Information Modeling as the Pillar of Intelligent Building Management and Maintenance,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Digital Twin; outra tecnologia: intelligent building; outra tecnologia: predictive maintenance,sim
97,1,REG_07849,10.4018/979-8-3373-6023-2.ch005,Lifecycle Assessment of Aluminium Composite Panel Façades in Tropical and Temperate Climates: A Durability-Informed Approach to Sustainable Design,2026,gestao_predial_sustentabilidade_geral,,,sim
98,1,REG_04615,10.3846/ijspm.2026.26798,MAPPING THE EVOLUTION OF BUILDING MAINTENANCE (1948–2024): A BIBLIOMETRIC REVIEW,2026,gestao_predial_sustentabilidade_geral,,,sim
99,1,REG_04686,10.3390/buildings16081509,BIM Implementation: A Scientometric Analysis of Global Research Trends and Progress of Two Decades,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT,sim
100,1,REG_04831,10.24928/2026/0249,MIND THE CHASM: INTEGRATING FACILITY MANAGEMENT REQUIREMENTS IN DESIGN,2026,gestao_predial_sustentabilidade_geral,,,sim
101,2,REG_04936,NA,Building of multi-dimensional health status monitoring and evaluation index system for bank protection,2026,gestao_predial_com_decisao_multicriterio,AHP,,sim
102,2,REG_07868,10.1007/978-3-032-21585-7_25,Maintenance-Oriented Test Generators and Test Teams Simulation for Demand-Controlled Ventilation and Heating Systems,2026,gestao_predial_sustentabilidade_geral,,,sim
103,2,REG_09253,10.1108/ijbpa-09-2024-0171,BIM in retrospect for the existing built environment - challenges and implications,2026,gestao_predial_com_tecnologia_aplicada,,BIM,sim
104,2,REG_04797,10.1016/j.jobe.2025.115047,Multi-objective optimization design method for thermal performance of office building envelopes based on stochastic operation,2026,gestao_predial_sustentabilidade_geral,,,sim
105,2,REG_04959,10.1108/lhtn-03-2026-0048,Co-designing ergonomic information environments for students with physical disabilities: lessons from Kenyan universities,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
106,2,REG_04586,NA,Overall layout of double-line ship lock reconstruction and expansion of Likou Hub based on utilization plan of existing ship locks,2026,gestao_predial_sustentabilidade_geral,,,sim
107,2,REG_04701,10.1108/f-06-2025-0100,Exploring the dynamics of sustainable facility management in tertiary institutions in Nigeria: perspectives from Oyo state,2026,gestao_predial_contexto_publico_universitario,,,sim
108,2,REG_04755,10.5194/isprs-archives-xlviii-2-w12-2026-121-2026,BIM-AR Interactive Data Accessibility in Cultural Heritage: a VPL Integrated Approach,2026,gestao_predial_com_tecnologia_aplicada,,BIM,sim
109,2,REG_04761,10.1108/sasbe-01-2024-0004,Collaborative and life cycle-based project delivery for environmentally sustainable building construction: views of Finnish project professionals and building operation and maintenance experts,2026,gestao_predial_biossistemica_conceitual,,,sim
110,2,REG_07854,10.1201/9781003567332-12,Performance Modelling of Aluminium Building Cladding under Hail Hazards,2026,gestao_predial_sustentabilidade_geral,,,sim
111,2,REG_04786,10.1016/j.jobe.2026.115382,Performance gap analysis of air-source heat pumps: From rated specifications to field measurements,2026,gestao_predial_sustentabilidade_geral,,,sim
112,2,REG_09136,10.1108/f-06-2025-0102,"Community-centered facilities management (FM) in Johannesburg inner city as a socially embedded, participatory governance system",2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
113,2,REG_04794,10.1051/e3sconf/202668601007,"BIM-Based Carbon Emission Measurement for Building Whole Life Cycle: Model Construction, Stage Analysis and Case Verification",2026,gestao_predial_com_tecnologia_aplicada,,BIM,sim
114,2,REG_04605,10.1016/j.applthermaleng.2026.130973,Performance simulation and analysis study of solar driven desiccant wheel air conditioning systems for low latitude islands,2026,gestao_predial_sustentabilidade_geral,,,sim
115,2,REG_04739,10.1002/ese3.70415,Prediction of Energy Consumption and Energy Savings in an Urban Vertical Farm Benchmark,2026,gestao_predial_sustentabilidade_geral,,,sim
116,2,REG_04574,10.1016/j.softx.2026.102575,"BIM-CAP: A tool for assessing building information modelling capabilities of architecture, engineering, construction and facilities management processes",2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin,sim
117,2,REG_04844,10.1108/bepam-01-2025-0023,Conceptual design of a climate database to mitigate the climate change implications on buildings,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
118,2,REG_05018,10.1007/978-3-032-19137-3_18,Predictive Control in Buildings—A Commercializing View of the Norwegian Building Industry,2026,gestao_predial_sustentabilidade_geral,,,sim
119,2,REG_04915,10.1007/978-3-032-06760-9_5,Preliminary Analysis of Operational Reliability in PEMEX as a Basis for Proposing the Creation of an Information System for the Maintenance of Equipment for Oil Drilling and Production in the Northeast Marine Region of Mexico,2026,gestao_predial_sustentabilidade_geral,,,sim
120,2,REG_04993,10.1080/15623599.2025.2544913,Benefits of adopting digital twin technology (DTT) in the Nigerian construction industry,2026,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
121,2,REG_09180,10.1108/f-09-2025-0161,Influence of maintenance contingency factors on occupant behaviour in the use of energy in public university buildings: contingency theory approach,2026,gestao_predial_contexto_publico_universitario,,,sim
122,2,REG_07858,10.1007/978-3-032-04071-8_23,Preliminary Assessment of the Risk and Availability of Exploitation of Wind Power Plants,2026,gestao_predial_sustentabilidade_geral,,,sim
123,2,REG_04749,10.3233/atde260008,Considering Carbon Emissions and Energy Consumption Costs in Project Pricing: A Case Study of a Commercial Building in Shanghai,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
124,2,REG_04806,10.1201/9781003647782-11,Real-Time Control of HVAC Systems Using Artificial Intelligence: Applications,2026,gestao_predial_sustentabilidade_geral,,,sim
125,2,REG_04602,10.1016/j.seta.2026.105069,Bio-adaptive neuromorphic framework for sustainable building energy management: a cognitive ecosystem for arid climates,2026,gestao_predial_com_tecnologia_aplicada,,IoT,sim
126,2,REG_04573,10.3390/buildings16112198,Reducing Operational Carbon Emissions from Urban Residential Buildings with Improved Green Building Efficiency Standards,2026,gestao_predial_sustentabilidade_geral,,,sim
127,2,REG_04991,10.1080/15623599.2025.2531240,Construction quality framework for school buildings: damage detection and rectification prioritization,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
128,2,REG_05019,10.3390/su18010463,Reducing Thermal Bridging from Antenna Installations Using an External-Wall Mounting Block to Support Sustainable Development,2026,gestao_predial_sustentabilidade_geral,,,sim
129,2,REG_04533,10.1061/jitse4.iseng-2726,Bridge Facility Management during the Operations and Maintenance Phase: A Literature Review,2026,gestao_predial_com_tecnologia_aplicada,,BIM,sim
130,2,REG_04541,10.1016/j.cities.2026.107238,"Corrigendum/Erratum to “Integrating AI and spatial analysis for resilient and inclusive 15-minute cities: A case study of Gdańsk”(Cities, (2026), 173, C, (107011), (S026427512600243X), 10.1016/j.cities.2026.107011)",2026,gestao_predial_biossistemica_conceitual,,,sim
131,2,REG_04697,10.1016/s2214-109x(25)00537-6,Reliable electricity to advance quality health care in low-resource settings,2026,gestao_predial_sustentabilidade_geral,,,sim
132,2,REG_07835,10.3390/su18104935,Bridging Image-Based Detection and Field Evaluation: A Semi-Automated Pavement Distress Assessment Framework,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
133,2,REG_04873,10.1007/978-3-032-14648-9_13,"Research Progress of PEDF Technology Based on Life Cycle Assessment Theory of Building: Technological Innovation, Analysis of Sustainable Oriented Inventory, Development Prospects",2026,gestao_predial_sustentabilidade_geral,,,sim
134,2,REG_04552,10.1111/itor.70022,Contractors allocation for public building maintenance: a sustainable approach aligned with SDGs using AHP-TOPSIS and bi-objective optimization,2026,gestao_predial_com_decisao_multicriterio,TOPSIS; AHP,,sim
135,2,REG_04834,10.21837/pm.v24i41.1998,Integrating Passive and Active Strategies: A Conceptual Framework for Building Energy Efficiency in Higher Education Institutions,2026,gestao_predial_contexto_publico_universitario,,,sim
